,SB,DT,DB,ASP,TC,LT,VB,PC,GB
lncRNA:CR44922,0.0009704027171276079,0.0009115770282588879,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sfxn1-3,0.07035419699175158,0.07702825888787602,0.11362351611079706,0.04395604395604396,0.06690561529271206,0.06230529595015576,0.1329243353783231,0.15884928080050031,0.2777777777777778
Cont,0.8602620087336245,0.6690975387420237,1.5952515545505936,0.673992673992674,0.5591397849462365,0.632398753894081,0.983640081799591,1.0368980612883052,0.8055555555555556
tub,0.17515769044153323,0.1640838650865998,0.2866026003391747,0.12454212454212454,0.11708482676224612,0.1588785046728972,0.24335378323108384,0.27204502814258913,0.2361111111111111
CG14646,0.15138282387190685,0.08113035551504102,0.18654607122668174,0.1978021978021978,0.1111111111111111,0.09657320872274143,0.1554192229038855,0.17073170731707318,0.16666666666666666
CG34112,0.08976225133430374,0.07110300820419325,0.17410966647823628,0.03663003663003663,0.05973715651135006,0.04984423676012461,0.10633946830265849,0.1657285803627267,0.7916666666666666
asRNA:CR46139,0.0019408054342552159,0.0018231540565177757,0.0045223289994347085,0.0,0.0047789725209080045,0.003115264797507788,0.002044989775051125,0.00375234521575985,0.013888888888888888
asRNA:CR45999,0.020863658418243572,0.010027347310847767,0.05200678349349915,0.003663003663003663,0.016726403823178016,0.01557632398753894,0.024539877300613498,0.04127579737335835,0.06944444444444445
CG9855,0.146045608927705,0.1048313582497721,0.21594120972300734,0.23076923076923078,0.11589008363201912,0.19626168224299065,0.1554192229038855,0.17073170731707318,0.3055555555555556
CG9853,0.22901504124211547,0.12898814949863263,0.252119841718485,0.27472527472527475,0.1827956989247312,0.16510903426791276,0.25357873210633947,0.30206378986866794,0.1111111111111111
CG14647,0.21251819505094613,0.16134913400182316,0.29395138496325607,0.23443223443223443,0.13500597371565112,0.14641744548286603,0.29243353783231085,0.2764227642276423,0.18055555555555555
lncRNA:CR45187,0.005822416302765648,0.0031905195989061076,0.009044657998869417,0.003663003663003663,0.0023894862604540022,0.003115264797507788,0.0081799591002045,0.008130081300813009,0.0
lost,1.3905870936438622,0.914767547857794,2.243640474844545,1.6813186813186813,1.1529271206690561,1.0591900311526479,2.357873210633947,2.8361475922451533,0.4861111111111111
CG32944,0.0,0.00045578851412944393,0.0,0.0,0.0023894862604540022,0.0,0.002044989775051125,0.0006253908692933083,0.0
CG31528,0.0,0.0,0.0005652911249293386,0.0,0.0,0.0,0.002044989775051125,0.0,0.0
srl,0.1319747695293547,0.08751139471285324,0.10457885811192764,0.12087912087912088,0.10991636798088411,0.0778816199376947,0.16768916155419222,0.12632895559724827,0.027777777777777776
eIF3a,0.6914119359534207,0.49544211485870554,0.9519502543810062,0.706959706959707,0.6356033452807647,0.7881619937694704,1.112474437627812,1.1144465290806753,0.625
CG1074,0.06404657933042213,0.04968094804010939,0.09496890898812889,0.08791208791208792,0.037037037037037035,0.028037383177570093,0.13496932515337423,0.09505941213258287,0.013888888888888888
CG9804,0.19116933527413876,0.11394712853236098,0.34652345958168457,0.20146520146520147,0.14456391875746716,0.14018691588785046,0.3333333333333333,0.41213258286429016,0.09722222222222222
asRNA:CR44134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
CG14650,0.16060164968461912,0.10346399270738377,0.18993781797625778,0.17582417582417584,0.13620071684587814,0.14018691588785046,0.17586912065439672,0.19262038774233897,0.1111111111111111
CG31522,0.30761766132945173,0.07429352780309936,0.2713397399660825,0.2454212454212454,0.08482676224611709,1.7975077881619939,0.09611451942740286,0.45653533458411505,0.041666666666666664
asRNA:CR43629,0.002911208151382824,0.0031905195989061076,0.00395703787450537,0.0,0.0,0.006230529595015576,0.006134969325153374,0.005628517823639775,0.0
CG31523,0.35904900533721495,0.1804922515952598,0.4697569248162804,0.6043956043956044,0.2891278375149343,0.6448598130841121,0.4376278118609407,1.9193245778611632,0.20833333333333334
Fip1,0.1969917515769044,0.15587967183226983,0.3058224985867722,0.32234432234432236,0.17801672640382318,0.16510903426791276,0.28629856850715746,0.3058161350844278,0.125
CG9775,0.34400776322173704,0.2502278942570647,0.4115319389485585,0.3076923076923077,0.23655913978494625,0.367601246105919,0.37627811860940696,0.41838649155722324,0.7777777777777778
slx1,0.023774866569626393,0.013673655423883319,0.03165630299604296,0.02564102564102564,0.011947431302270013,0.028037383177570093,0.024539877300613498,0.0375234521575985,0.0
MED31,0.14216399805919458,0.10300820419325434,0.20576596947427925,0.17582417582417584,0.11589008363201912,0.14641744548286603,0.16359918200409,0.1813633520950594,0.06944444444444445
Dlip2,0.08102862688015526,0.07110300820419325,0.178631995477671,0.0695970695970696,0.06451612903225806,0.11838006230529595,0.25766871165644173,0.17698561601000626,0.06944444444444445
rpk,0.00048520135856380397,0.006381039197812215,0.0005652911249293386,0.0,0.0011947431302270011,0.0,0.0,0.0012507817385866166,0.0
Karybeta3,0.46676370693837943,0.2543299908842297,0.48049745618993783,0.2783882783882784,0.35722819593787336,0.46105919003115264,0.5807770961145194,0.760475297060663,0.5277777777777778
spartin,0.006792819019893256,0.004557885141294439,0.010740531373657434,0.01098901098901099,0.010752688172043012,0.01557632398753894,0.0081799591002045,0.020012507817385866,0.0
CG43427,0.2717127607957302,0.18869644484958978,1.315432447710571,0.9230769230769231,0.34528076463560337,0.4672897196261682,0.5971370143149284,0.7648530331457161,0.2916666666666667
lncRNA:CR44157,0.008248423095584668,0.0031905195989061076,0.010740531373657434,0.014652014652014652,0.0023894862604540022,0.009345794392523364,0.00408997955010225,0.009380863039399626,0.0
CG33927,0.0,0.0,0.002826455624646693,0.0,0.0,0.0,0.0,0.0,0.0
eIF3f1,1.8355167394468705,1.158158614402917,2.7020915771622387,2.1684981684981683,1.3285543608124253,1.4953271028037383,2.7259713701431494,3.0838023764853033,1.9305555555555556
lncRNA:CR44923,0.011644832605531296,0.0027347310847766638,0.0033917467495760316,0.003663003663003663,0.0023894862604540022,0.14018691588785046,0.006134969325153374,0.0012507817385866166,0.013888888888888888
Nep2,3.0805434255215913,0.4380127620783956,0.78631995477671,0.4432234432234432,0.7885304659498208,40.04361370716511,2.3865030674846626,0.434021263289556,1.6944444444444444
tacc,0.8471615720524017,0.3810391978122151,1.1277557942340306,0.7838827838827839,0.5925925925925926,0.6853582554517134,0.8752556237218814,1.8386491557223263,0.6111111111111112
asRNA:CR46137,0.0019408054342552159,0.00045578851412944393,0.0016958733747880158,0.0,0.0011947431302270011,0.0,0.0,0.0,0.0
atms,0.14944201843765162,0.08751139471285324,0.18993781797625778,0.15384615384615385,0.0908004778972521,0.11526479750778816,0.1738241308793456,0.20825515947467166,0.05555555555555555
CG44098,0.00048520135856380397,0.0,0.0011305822498586771,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
CG14655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG17387,0.0,0.0,0.0005652911249293386,0.0,0.0011947431302270011,0.0,0.0,0.0,0.0
ctrip,0.28093158660844253,0.24840474020054695,0.3996608253250424,0.27472527472527475,0.19474313022700118,0.40186915887850466,0.37627811860940696,0.33583489681050654,0.6388888888888888
Hus1-like,0.0732654051431344,0.0601640838650866,0.0791407574901074,0.0695970695970696,0.053763440860215055,0.13707165109034267,0.08384458077709611,0.1131957473420888,0.06944444444444445
CG1129,0.4366812227074236,0.25979945305378305,0.6161673261729791,0.608058608058608,0.34528076463560337,0.3146417445482866,0.5398773006134969,0.8342714196372732,0.2777777777777778
CG1126,0.001455604075691412,0.0,0.0005652911249293386,0.0,0.0,0.0,0.0,0.0012507817385866166,0.0
CG14657,0.12615235322658905,0.0820419325432999,0.1537591859807801,0.16117216117216118,0.08363201911589008,0.102803738317757,0.12474437627811862,0.18261413383364603,0.20833333333333334
opa,0.001455604075691412,0.07930720145852324,0.006783493499152063,0.003663003663003663,0.0035842293906810036,0.003115264797507788,0.002044989775051125,0.004377736085053158,0.027777777777777776
Gnf1,0.10528869480834546,0.07657247037374658,0.15149802148106276,0.08791208791208792,0.07765830346475508,0.09034267912772585,0.1165644171779141,0.11507191994996874,0.013888888888888888
Cdep,0.25812712275594374,0.18869644484958978,0.5635952515545506,0.32967032967032966,0.27001194743130225,0.30218068535825543,0.3476482617586912,0.6360225140712945,0.2638888888888889
lncRNA:CR45188,0.00048520135856380397,0.0,0.0011305822498586771,0.0,0.0011947431302270011,0.0,0.0,0.0006253908692933083,0.0
snRNA:U1:82Eb,0.00048520135856380397,0.0,0.0005652911249293386,0.0,0.0,0.0,0.0,0.0,0.0
Ubc6,0.5385735080058224,0.28076572470373745,0.5839457320520068,0.5897435897435898,0.37873357228195936,0.557632398753894,0.5194274028629857,0.7623514696685428,0.6527777777777778
CG14661,0.0038816108685104317,0.00045578851412944393,0.0022611644997173543,0.003663003663003663,0.0035842293906810036,0.006230529595015576,0.002044989775051125,0.001876172607879925,0.0
CG2016,1.3930131004366813,0.4398359161349134,8.313171283210854,4.315018315018315,2.3297491039426523,17.772585669781932,16.167689161554193,6.123202001250782,0.7777777777777778
CG1124,0.04027171276079573,0.006381039197812215,0.04070096099491238,0.07692307692307693,0.08363201911589008,0.06542056074766354,0.026584867075664622,0.016260162601626018,0.041666666666666664
lncRNA:CR45585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lncRNA:CR46352,0.003396409509946628,0.0009115770282588879,0.0005652911249293386,0.007326007326007326,0.016726403823178016,0.006230529595015576,0.0,0.0012507817385866166,0.0
lncRNA:CR43635,0.00048520135856380397,0.0031905195989061076,0.0,0.0,0.0023894862604540022,0.003115264797507788,0.0,0.0006253908692933083,0.0
corto,0.5832120329936924,0.601640838650866,1.0932730356133409,0.6703296703296703,0.7825567502986858,0.8598130841121495,0.9652351738241309,0.7754846779237023,0.8472222222222222
CG12007,0.10480349344978165,0.07429352780309936,0.1724137931034483,0.09157509157509157,0.1027479091995221,0.11214953271028037,0.130879345603272,0.21263289555972484,0.06944444444444445
dpr16,0.0,0.010027347310847767,0.0,0.0,0.0,0.003115264797507788,0.0,0.0025015634771732333,0.0
cno,0.3760310528869481,0.2657247037374658,0.46466930469191636,0.5970695970695971,0.4026284348864994,0.3956386292834891,0.4703476482617587,0.42213883677298314,1.0694444444444444
Prosbeta2R2,0.0,0.00045578851412944393,0.0016958733747880158,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
CG1116,0.06598738476467735,0.03463992707383774,0.0994912379875636,0.054945054945054944,0.053763440860215055,0.06230529595015576,0.08384458077709611,0.11694809255784866,0.041666666666666664
CG2604,0.2183406113537118,0.17593436645396535,0.3708309779536461,0.13553113553113552,0.16726403823178015,0.16510903426791276,0.47648261758691207,0.3151969981238274,0.06944444444444445
CG14664,0.00048520135856380397,0.00045578851412944393,0.0,0.0,0.0,0.03426791277258567,0.0,0.0,0.05555555555555555
Vps37B,0.19408054342552158,0.16043755697356427,0.2752967778405879,0.1794871794871795,0.14695340501792115,0.21806853582554517,0.21063394683026584,0.2682926829268293,0.4166666666666667
Kat60,0.1489568170790878,0.08751139471285324,0.16619559072922555,0.16483516483516483,0.11947431302270012,0.1588785046728972,0.15337423312883436,0.2026266416510319,0.18055555555555555
Mms19,0.031052886948083454,0.031449407474931634,0.04352741661955907,0.02197802197802198,0.03464755077658303,0.04361370716510903,0.053169734151329244,0.050031269543464665,0.1527777777777778
rtp,0.0,0.00045578851412944393,0.002826455624646693,0.0,0.0,0.006230529595015576,0.0,0.0006253908692933083,0.0
CG12163,0.8117418728772441,0.5907019143117593,1.1995477671000565,0.8974358974358975,0.5591397849462365,1.1246105919003115,0.8588957055214724,1.5490931832395247,2.5277777777777777
CG33293,0.0009704027171276079,0.0013673655423883319,0.0005652911249293386,0.003663003663003663,0.0,0.0,0.0,0.0031269543464665416,0.041666666666666664
asRNA:CR44019,0.001455604075691412,0.0013673655423883319,0.0045223289994347085,0.003663003663003663,0.0,0.06853582554517133,0.002044989775051125,0.004377736085053158,0.05555555555555555
CG1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
CG12173,0.21154779233381854,0.16545123062898814,0.2696438665912945,0.14652014652014653,0.1768219832735962,0.08411214953271028,0.3292433537832311,0.25328330206378985,0.08333333333333333
Hph,0.048034934497816595,0.034184138559708296,0.07518371961560204,0.15018315018315018,0.043010752688172046,0.08411214953271028,0.05725971370143149,0.08442776735459662,0.08333333333333333
mtd,0.5662299854439592,0.31722880583409296,0.6856981345392877,0.663003663003663,0.5412186379928315,1.2616822429906542,0.591002044989775,0.5909943714821764,0.6805555555555556
CG31538,0.00048520135856380397,0.0,0.0022611644997173543,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
CG11999,0.8651140223192625,0.3463992707383774,1.2300734878462407,0.9267399267399268,0.6487455197132617,0.5950155763239875,0.9918200408997955,1.3189493433395871,0.1527777777777778
CG1161,0.41969917515769045,0.2502278942570647,0.5472018089315998,0.40293040293040294,0.3739545997610514,0.5109034267912772,0.4274028629856851,0.5878674171357098,0.9166666666666666
Prosbeta7,0.7719553614750121,0.41203281677301734,1.0955342001130581,0.7985347985347986,0.6618876941457587,0.8037383177570093,0.9120654396728016,1.1626016260162602,0.6388888888888888
Cerk,0.006792819019893256,0.004102096627164996,0.030525720746184284,0.01098901098901099,0.005973715651135006,0.08099688473520249,0.026584867075664622,0.025015634771732333,0.0
lncRNA:CR44103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RpII18,0.9966035904900534,0.7315405651777576,1.3188241944601469,1.0256410256410255,0.8279569892473119,0.5264797507788161,1.5623721881390593,1.3821138211382114,0.2361111111111111
hd,0.005337214944201844,0.007748404740200547,0.007348784624081402,0.003663003663003663,0.0011947431302270011,0.003115264797507788,0.010224948875255624,0.00375234521575985,0.0
CG14667,0.05579815623483746,0.03600729261622607,0.06161673261729791,0.08791208791208792,0.06093189964157706,0.018691588785046728,0.044989775051124746,0.05128205128205128,0.041666666666666664
7B2,0.0009704027171276079,0.00045578851412944393,0.0005652911249293386,0.007326007326007326,0.0,0.009345794392523364,0.0081799591002045,0.001876172607879925,0.0
kkv,0.440562833575934,0.2871467639015497,0.7077444884115319,0.7692307692307693,0.1959378733572282,0.9595015576323987,0.6257668711656442,1.8461538461538463,0.2916666666666667
CG14668,0.001455604075691412,0.0018231540565177757,0.0016958733747880158,0.007326007326007326,0.0011947431302270011,0.003115264797507788,0.0,0.0031269543464665416,0.0
CG1172,0.06647258612324114,0.03828623518687329,0.08705483323911814,0.0695970695970696,0.04659498207885305,0.056074766355140186,0.07770961145194274,0.08943089430894309,0.125
CG2663,7.282872392042698,0.1203281677301732,0.8304126625211984,13.633699633699633,1.05973715651135,0.8473520249221184,1.556237218813906,0.23452157598499063,0.20833333333333334
PEK,0.09364386220281416,0.05560619872379216,0.10853589598643301,0.05128205128205128,0.06929510155316607,0.059190031152647975,0.09406952965235174,0.1050656660412758,0.05555555555555555
RpL35A,8.824357108199903,4.839106654512307,11.92255511588468,9.15018315018315,7.293906810035843,6.065420560747664,11.466257668711657,12.131957473420888,7.125
POLDIP2,0.13294517224648228,0.08523245214220601,0.21254946297343133,0.1794871794871795,0.08482676224611709,0.06542056074766354,0.16359918200409,0.22326454033771106,0.027777777777777776
mRpL44,0.2654051431344008,0.12625341841385598,0.39909553420011307,0.358974358974359,0.17562724014336917,0.19626168224299065,0.3374233128834356,0.5709818636647905,0.09722222222222222
Snr1,0.3197476952935468,0.24020054694621695,0.43357829282080274,0.2857142857142857,0.24372759856630824,0.21495327102803738,0.4294478527607362,0.43839899937460913,0.125
Hcs,0.031052886948083454,0.02643573381950775,0.03843979649519502,0.018315018315018316,0.02867383512544803,0.04361370716510903,0.05112474437627812,0.05941213258286429,0.013888888888888888
ksr,0.021348859776807377,0.020966271649954422,0.031091011871113624,0.02197802197802198,0.010752688172043012,0.012461059190031152,0.018404907975460124,0.020012507817385866,0.027777777777777776
CG31550,0.10722950024260068,0.06289881494986327,0.16619559072922555,0.12087912087912088,0.08482676224611709,0.07476635514018691,0.16359918200409,0.15509693558474047,0.09722222222222222
NKCC,0.003396409509946628,0.00045578851412944393,0.0033917467495760316,0.0,0.0,0.07476635514018691,0.00408997955010225,0.0,0.013888888888888888
Itp-r83A,0.08685104318292092,0.07930720145852324,0.09383832673827021,0.0989010989010989,0.0955794504181601,0.12149532710280374,0.08997955010224949,0.12445278298936835,0.125
CG2519,0.14410480349344978,0.12397447584320875,0.23516110797060485,0.1978021978021978,0.12425328554360812,0.24299065420560748,0.16973415132924335,0.24702939337085678,0.25
mia,0.008733624454148471,0.0054694621695533276,0.014132278123233465,0.01098901098901099,0.005973715651135006,0.009345794392523364,0.024539877300613498,0.011882426516572859,0.0
Pcmt,0.6613294517224648,0.49042844120328166,0.9383832673827021,0.7106227106227107,0.5304659498207885,0.4766355140186916,1.0081799591002045,0.6966854283927455,0.8472222222222222
Snm1,0.018437651625424552,0.018687329079307202,0.020915771622385528,0.003663003663003663,0.008363201911589008,0.01557632398753894,0.024539877300613498,0.0225140712945591,0.0
Pi4KIIalpha,0.049490538573508006,0.02871467639015497,0.053702656868287166,0.047619047619047616,0.03106332138590203,0.040498442367601244,0.044989775051124746,0.056910569105691054,0.16666666666666666
asRNA:CR46136,0.00048520135856380397,0.00045578851412944393,0.0011305822498586771,0.0,0.0,0.003115264797507788,0.0,0.001876172607879925,0.0
CG14671,0.30955846676370696,0.16727438468550593,0.44431882419446017,0.358974358974359,0.27001194743130225,0.2523364485981308,0.3660531697341513,0.5297060662914321,0.09722222222222222
CG12746,0.1572052401746725,0.04740200546946217,0.13680045223289994,0.16117216117216118,0.07526881720430108,0.08099688473520249,0.10224948875255624,0.13821138211382114,0.027777777777777776
CG2931,0.12809315866084425,0.10027347310847767,0.1390616167326173,0.10989010989010989,0.1039426523297491,0.1059190031152648,0.147239263803681,0.15447154471544716,0.08333333333333333
Rheb,0.7763221737020863,0.3450319051959891,1.078575466365178,1.4578754578754578,0.6117084826762246,0.34579439252336447,0.8977505112474438,1.1056910569105691,0.1527777777777778
CRMP,0.13925278990781173,0.026891522333637192,0.30130016958733746,1.5494505494505495,0.14217443249701314,0.08099688473520249,0.15132924335378323,0.8217636022514071,0.027777777777777776
CG2926,0.36681222707423583,0.2365542388331814,0.49236856981345395,0.43956043956043955,0.27598566308243727,0.40186915887850466,0.40081799591002043,0.40963101938711693,0.3472222222222222
rev7,0.038816108685104316,0.010483135824977211,0.060486150367439234,0.04395604395604396,0.022700119474313024,0.021806853582554516,0.05521472392638037,0.04002501563477173,0.0
noi,0.11305191654536632,0.0788514129443938,0.15319389485585078,0.08791208791208792,0.12186379928315412,0.06230529595015576,0.12474437627811862,0.15134459036898062,0.08333333333333333
Vha26,0.851528384279476,0.4621695533272562,1.056529112492934,1.0915750915750915,0.7192353643966547,0.8566978193146417,0.9570552147239264,1.1357098186366479,0.9722222222222222
kra,7.689471130519165,3.675934366453965,8.565291124929338,9.915750915750916,6.666666666666667,6.2367601246105915,8.038854805725972,10.711069418386492,6.819444444444445
snoRNA:Psi28S-3385b,0.0024260067928190197,0.0009115770282588879,0.0016958733747880158,0.0,0.0035842293906810036,0.0,0.0,0.0012507817385866166,0.0
snoRNA:Psi28S-3385a,0.0009704027171276079,0.0009115770282588879,0.0011305822498586771,0.0,0.0011947431302270011,0.003115264797507788,0.0,0.0006253908692933083,0.0
snoRNA:Psi28S-3091b,0.0009704027171276079,0.0031905195989061076,0.0016958733747880158,0.003663003663003663,0.0023894862604540022,0.003115264797507788,0.0,0.0006253908692933083,0.0
snoRNA:Psi28S-3091a,0.008733624454148471,0.009115770282588878,0.005087620124364048,0.0,0.0047789725209080045,0.003115264797507788,0.0081799591002045,0.004377736085053158,0.0
snoRNA:Psi28S-3571,0.001455604075691412,0.00045578851412944393,0.0022611644997173543,0.0,0.0,0.003115264797507788,0.0,0.0012507817385866166,0.0
snoRNA:Psi28S-3186,0.00048520135856380397,0.00045578851412944393,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snoRNA:Psi28S-2442b,0.012130033964095099,0.013673655423883319,0.013001695873374788,0.003663003663003663,0.017921146953405017,0.012461059190031152,0.012269938650306749,0.01125703564727955,0.013888888888888888
snoRNA:Psi28S-2442a,0.0024260067928190197,0.0022789425706472195,0.0045223289994347085,0.0,0.0023894862604540022,0.0,0.006134969325153374,0.00375234521575985,0.0
CG1427,0.08005822416302766,0.06700091157702825,0.10910118711136235,0.10622710622710622,0.07048984468339307,0.04984423676012461,0.10020449897750511,0.14509068167604752,0.027777777777777776
asl,0.053857350800582245,0.059708295350957154,0.08875070661390616,0.040293040293040296,0.04540023894862605,0.03426791277258567,0.07975460122699386,0.046278924327704814,0.0
Rga,0.31877729257641924,0.2652689152233364,0.4177501413227812,0.336996336996337,0.24133811230585425,0.5109034267912772,0.3476482617586912,0.4803001876172608,0.7777777777777778
asRNA:ASTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006253908692933083,0.0
sisRNA:1,0.00048520135856380397,0.0018231540565177757,0.0022611644997173543,0.007326007326007326,0.0011947431302270011,0.003115264797507788,0.010224948875255624,0.001876172607879925,0.0
asRNA:CR46135,0.021834061135371178,0.0031905195989061076,0.005652911249293386,0.007326007326007326,0.011947431302270013,0.009345794392523364,0.0081799591002045,0.008755472170106316,0.0
Atu,0.14556040756914118,0.1317228805834093,0.23742227247032222,0.14285714285714285,0.13261648745519714,0.1308411214953271,0.20040899795501022,0.23452157598499063,0.08333333333333333
Spec2,0.7457544881125667,0.1048313582497721,0.2357263990955342,1.2673992673992673,0.32974910394265233,0.18691588785046728,0.1329243353783231,0.2789243277048155,0.125
