"","control_1.bam","control_2.bam","control_3.bam"
"snoRNA:Me28S-U2134b",0.791821497275429,0,0
"CG31551",0,0,0
"CG31549",4404.90298934321,3381.05369580357,3286.08624581812
"CG12171",2307.3678430606,2720.52406326089,2153.66304080561
"CG31546",6.33457197820344,10.3554477666266,3.08842692276139
"CG31548",1772.88833239969,2232.3386685485,1796.43499340621
"CG12170",953.353082719617,1221.20316162146,991.385042206406
"MTA1-like",10463.1292649975,10923.5180441101,13646.7290960417
"Sec23",19812.9575048258,16116.7750990733,18810.5789108987
"elm",2126.8325416818,2128.04451604176,1966.29847415808
"MED27",1379.3530482538,1609.53245286996,1199.33912167234
"CG2182",8218.31532022168,8479.63237118621,8858.63789012058
"asRNA:CR44093",49.0929328310766,46.5995149498196,67.9453923007505
"Wdr33",2530.66150529227,2502.31998532126,2565.45329717379
"Xe7",3770.65397002559,3254.56929808264,3866.71050729726
"Atg17",1714.2935416013,1300.34836955211,1912.76574083022
"Rab23",1307.29729200173,1218.24446225957,1193.16226782682
"plx",1066.58355683,590.260522697714,625.921189679641
"CG2104",0,15.5331716499399,3.08842692276139
"cas",7.91821497275429,8.13642324520659,117.360223064933
"CG1239",525.769474190885,451.941327529202,449.880855082242
"CG2100",2733.36780859478,2897.30635013402,2632.36921383362
"CG1236",4859.40852877931,4308.60594575713,4004.6602431806
"Sym",4069.17067449843,3896.60705961348,4760.29536361622
"Madm",5339.25235612822,5136.30209224678,5655.93917121702
"CG2091",4358.18552100396,4873.71752387875,4688.23206875179
"Sec8",5500.78394157241,6532.80819106042,6059.49362245784
"CG2082",263.676558592718,283.295463901284,197.659323056729
"jagn",3806.28593740299,3486.08752315079,3404.47594452397
"kat-60L1",0,0,2.05895128184093
"Hat1",4316.21898164837,5691.05822260177,5106.19917896549
"Rpn5",15835.6381240113,13695.0796713636,13963.8075934452
"CG1218",2416.63920968461,2912.83952178396,2738.40520484843
"CG2046",2914.69493147086,2757.50780528456,2415.14985359941
"CG10979",2089.61693130986,2162.06955870353,1997.1827433857
"CG11000",51.4683973229029,44.3804904283996,55.591684609705
"CG42675",806.866105723662,1101.37583746478,1078.89047168465
"Hpr1",2759.49791800487,2685.01967091817,2606.63232281061
"CG2023",705.512954072408,449.722303007782,354.139620476639
"dgrn",1769.72104641058,1321.79893992583,1481.41544728455
"CG1208",0,0,0
"CR10991",0,4.43804904283996,6.17685384552278
"disp",4492.00335404351,5307.90665523659,5675.49920839451
"ECSIT",979.483192129706,1177.56234603354,820.492085813609
"CG2017",1455.36791199224,2111.03199471087,1734.66645495098
"side-III",0,0,10.2947564092046
"Rm62",97486.687280059,141348.903315091,115777.919004838
"CG10280",7.12639347547886,0,6.17685384552278
"CG11459",138.5687620232,17.0125213308865,6.17685384552278
"CG15580",3.16728598910172,0,3.08842692276139
"Gasp",6630.71321818445,6704.41275405023,8482.87928118461
"Obp83cd",5.54275048092801,4.43804904283996,4.11790256368185
"Obp83ef",112.438652613111,3.69837420236663,9.26528076828416
"Obp83g",395.118927140439,493.363118595709,368.552279449526
"CG31559",502.014829272622,460.077750774409,575.476883274539
"CG1077",0,18.4918710118332,0
"Osi24",300.892168964663,349.866199543883,435.468196109356
"Osi2",114.814117104937,2763.42520400835,481.794599950777
"Osi3",0,0,20.5895128184093
"Osi9",0,10.3554477666266,120.448649987694
"CG15597",9.50185796730515,30.3266684594064,30.8842692276139
"Osi14",0,0,4.11790256368185
"CG17917",23.7546449182629,10.3554477666266,20.5895128184093
"CG10298",19.7955374318857,9.61577292615324,19.5600371774888
"CG17919",4663.036797455,6080.12718869074,5253.41419561712
"SmD2",9102.77993267834,9941.2298559615,8351.10639914679
"CG18048",586.739729481093,795.890128349299,836.963696068336
"Hr83",10.2936794645806,0,0
"Pak",4170.52382614969,4355.94513554742,4695.43839823823
"CG42724",7973.64247756357,8629.04668896182,9229.24912085195
"CG10286",9887.47503647829,8191.89885824209,9661.62889003854
"CRAT",2740.49420207026,2843.31008677947,2697.22617921161
"CG42564",92.6431151812252,85.8022814949058,57.6506358915459
"CG1024",1207.52778334503,1194.57486736442,1259.04870884573
"TfIIFalpha",3506.1855899356,3859.62331758982,3547.57305861191
"godzilla",3257.55363979112,3723.52314694272,3622.72478039911
"Dmtn",1886.11880651007,2149.49508641549,2607.66179845153
"gpp",4093.71714091397,3979.45064174649,4354.68196109356
"lncRNA:CR44017",36.4237888746698,38.463091704613,56.6211602506255
"CG9727",1392.81401370748,2084.40370045383,2879.44336765453
"Zif",3122.15216375702,3335.9335305347,3015.33415225604
"Neurochondrin",1512.37905979607,4111.85243819122,3072.98478814758
"CG15186",226.460948220773,85.0626066544325,169.863480751876
"dpr11",0,0,16.4716102547274
"CG1138",0,0,0
"glob2",0,0,0
"sowi",0,0,0
"CG31286",0,0,0
"Taf1",5016.18918523984,5475.81284402403,8327.42845940562
"CG1307",4355.81005651214,6688.87958240029,5989.48927887525
"twr",8433.6907674806,7515.09637920899,7389.57615052708
"agt",406.204428102295,647.21548541416,444.73347687764
"lab",3.95910748637715,0,10.2947564092046
"Ccp84Ad",0.791821497275429,0.739674840473326,11.3242320501251
"lncRNA:CR33938",1529.00731123885,2426.13347675251,1970.41637672177
"Ccp84Ab",2.37546449182629,0,1.02947564092046
"Ccp84Aa",3.95910748637715,8.13642324520659,6.17685384552278
"lncRNA:CR45593",27.71375240464,11.8347974475732,19.5600371774888
"Ama",17291.7978575008,16977.7566133843,18248.4852109561
"lncRNA:CR44930",0,8.87609808567991,5.14737820460231
"Dfd",0,0,5.14737820460231
"lncRNA:CR42651",5.54275048092801,8.13642324520659,0
"tRNA:Lys-CTT-2-1Psi",1.58364299455086,8.13642324520659,6.17685384552278
"Scr",0.791821497275429,31.806018140353,77.2106730690347
"lncRNA:CR45901",0,0,0
"lncRNA:CR45902",0,0,0
"lncRNA:CR45559",0,1.47934968094665,0
"lncRNA:CR44932",30.8810383937417,28.1076439379864,33.9726961503753
"Antp",7033.75036029764,4512.75620172776,7460.60996975059
"lncRNA:CR43252",2.37546449182629,14.7934968094665,17.5010858956479
"lncRNA:CR45899",56.2193263065555,42.9011407474529,39.1200743549776
"lncRNA:CR44933",57.8029693011063,28.1076439379864,22.6484641002502
"Sodh-1",2.37546449182629,5.17772388331328,0
"CG1979",0,0,0
"dj",0,0,0
"djl",0,0,0
"CG1988",0,0.739674840473326,3.08842692276139
"CG1105",2584.505367107,2756.02845560361,2394.560340781
"CG1965",2301.82509257967,2415.77802898588,2388.38348693547
"Ufl1",3121.36034225974,3915.09893062532,3558.89729066204
"asRNA:CR45908",34.8401458801189,65.831060802126,27.7958423048525
"CG1943",13841.8315938718,15436.2742458378,11733.9633552114
"Ref1",22658.7639660337,21293.7593075461,21423.3880875548
"Dpck",335.732314844782,252.968795441878,328.402729453628
"Tailor",6428.79873637921,7097.91976918204,7148.67885055169
"asRNA:CR45907",91.8512936839498,104.294152506739,97.800185887444
"alphaTub84B",276091.527848499,245618.646552094,284136.306369689
"lncRNA:CR43685",1673.11882374298,1645.03684521268,1354.78994345133
"e(y)2b",35.6319673773943,39.9424413855596,48.3853551232617
"Alh",3293.18560716851,2979.41025742656,4297.03132520201
"Mlp84B",1933.6280963466,2795.2312221487,3695.81755090446
"CG10098",3206.08524246821,2784.87577438207,3918.18428934328
"CG10068",722.933027012467,1130.22315624324,1284.78559986874
"lncRNA:CR42875",12.6691439564069,26.6282942570397,35.0021717912957
"CG31248",20.5873589291612,2.9586993618933,13.383183331966
"Fer1",0,0,0
"CG2656",2463.35667802386,2853.66553454609,2392.50138949916
"gfzf",2439.6020331056,3175.42409015199,2887.6791727819
"Sas-4",1326.30100793634,1256.70755396418,1519.5060459986
"MAGE",730.059420487946,705.649797811553,587.830590965584
"asRNA:CR45909",1.58364299455086,15.5331716499399,14.4126589728865
"sas",5253.73563442247,7410.06255186178,5578.72849814799
"CG10055",1867.90691207274,1359.52235678997,1780.9928587924
"lap",4189.5275420843,3414.33906362487,4322.76821622502
"CG14609",0,0,9.26528076828416
"CG1288",0,0,0
"CG14605",0,0,0
"thw",121.940510580416,66.5707356425994,115.301271783092
"CG1234",5691.61292241579,4839.69248121697,5071.1970071742
"CG10053",673.84009418139,731.53841722812,741.222461462733
"CG1227",507.55757975355,627.983939561854,515.767296101152
"CG10050",673.84009418139,480.788646307662,607.390628143073
"Obp84a",36.4237888746698,31.0663432998797,36.0316474322162
"Gld",4259.20783384453,3050.419042112,4157.02263803683
"Syt4",11.8773224591314,1498.58122679896,1884.96989852537
"CR10032",11.8773224591314,0,6.17685384552278
"rn",2961.41239981011,1597.69765542238,4496.74959954058
"RacGAP84C",53.0520403174538,5.91739872378661,6.17685384552278
"CG42544",0.791821497275429,0,4.11790256368185
"lncRNA:CR44334",4.75092898365258,0,9.26528076828416
"CG10029",0,14.7934968094665,0
"CG44335",0.791821497275429,0,0
"CG31496",0.791821497275429,0,0
"CG43290",0,0,0
"Mst84Dd",0,0,0
"Mst84Dc",0,0,0
"Mst84Db",0,0,0
"CG42650",0,0,0
"CG14598",924.847508817702,900.184280856038,567.241078147175
"CG1142",5169.010734214,3997.94251275833,2954.59508944173
"scaRNA:MeU5-C46",36.4237888746698,90.9800053782191,66.9159166598301
"snRNA:7SK",358.69513826577,284.774813582231,289.28265509865
"alpha-Est10",190.828980843378,45.8598401093462,137.949735883342
"alpha-Est9",371.364282222176,242.613347675251,284.135276894048
"Mics1",0,4.43804904283996,0
"alpha-Est8",19.0037159346103,2.9586993618933,10.2947564092046
"alpha-Est7",86.3085432030218,45.1201652688729,38.0905987140571
"Rtnl2",7.91821497275429,8.87609808567991,3.08842692276139
"alphaTub84D",29138.2392782385,16536.9104084622,17822.2822956151
"alpha-Est5",64.1375412793098,16.2728464904132,22.6484641002502
"alpha-Est4",14.2527869509577,25.1489445760931,7.20632948644324
"asRNA:CR46128",11.8773224591314,8.13642324520659,17.5010858956479
"alpha-Est2",22.9628234209875,19.2315458523065,2.05895128184093
"alpha-Est1",3.16728598910172,2.9586993618933,6.17685384552278
"Nlg3",0,0,6.17685384552278
"Nlg1",470.341969381605,496.321817957602,718.573997362483
"pyd3",4.75092898365258,7.39674840473326,15.4421346138069
"CG10919",0,0,0
"Sp7",524.97765269361,308.444408477377,367.522803808605
"lncRNA:CR46226",0,0,0
"CG18747",14.2527869509577,7.39674840473326,4.11790256368185
"CG18745",0,3.69837420236663,0
"CG2641",326.230456877477,489.664744393342,293.400557662332
"CG18744",2.37546449182629,3.69837420236663,7.20632948644324
"CG2993",0,27.3679690975131,13.383183331966
"sgll",3544.19302180482,4020.13275797253,3316.97051504573
"CG31473",122.732332077692,184.179035277858,187.364566647524
"CG34384",0,9.61577292615324,11.3242320501251
"CG17816",638.999948301272,612.450767911914,810.197329404404
"ArgRS-m",751.438600914383,907.581029260771,814.315231968086
"mRpS9",1026.20066046896,988.205586872364,1024.32826271586
"wtrw",287.431203510981,281.076439379864,200.74774997949
"EMC1",7499.34140069559,5015.73509324962,6879.98570827145
"Taf7",1160.0184935085,1156.11177565981,1052.12410502071
"Prat",6302.89911831242,6519.4940439319,6440.39960959841
"CG2846",1249.49432270063,1620.62757547706,1589.51038958119
"CG2678",62.5538982847589,31.0663432998797,56.6211602506255
"CG10445",245.464664155383,379.453193162816,428.261866622913
"lds",4940.96614299868,5171.8064845895,5699.17714813568
"scaRNA:MeU2-C41",7.12639347547886,6.65707356425994,1.02947564092046
"dsx",661.170950224983,741.154190154273,694.896057621312
"CD98hc",29730.5217582005,22554.9049105531,29791.9955725973
"Os-C",170.241621914217,134.620820966145,145.156065369785
"Sfp84E",13.4609654536823,11.8347974475732,16.4716102547274
"CG2781",220.918197739845,181.220335915965,63.8274897370687
"PIG-H",678.591023165043,605.793694347654,735.04560761721
"Kmn2",220.918197739845,286.254163263177,246.044678179991
"CG2698",4292.4643367301,4861.88272643117,4943.54202770006
"CG2767",6904.68345624174,6404.10476881806,5767.12254043643
"CG11052",0,2.21902452141998,0
"CG3223",5530.87315846887,5166.62876070618,4893.09772129496
"CG10435",1370.64301178377,1311.44349215921,1426.85323831576
"Pbp95",896.341934915786,1037.76380118408,911.08594221461
"CG2747",4081.83981845484,3507.53809352451,5932.86811862463
"ImpE3",7004.45296489845,4941.76760920229,8130.79861198982
"CG10903",285.055739019155,218.943752780105,245.01520253907
"CG11035",373.739746714003,346.167825341517,226.484641002502
"unc-45",4716.88065926973,3913.61958094437,5496.37044687435
"CG43060",17.4200729400594,4.43804904283996,2.05895128184093
"mAChR-B",0,0,25.7368910230116
"CG7900",464.799218900677,1116.90900911472,687.689728134869
"puc",3921.10005450793,3951.34299780851,8147.27022224454
"lncRNA:CR44331",29.2973953991909,26.6282942570397,43.2379769186594
"CG7878",8422.60526651874,8577.26945012869,9059.38564010007
"CG9667",2059.52771441339,1994.16336991609,1542.15451009885
"Gie",2196.51283344204,2207.92939881288,2383.23610873087
"tRNA:Arg-ACG-1-10",0,0,0
"grn",8724.28925698068,9432.33356571586,9082.03410420032
"lncRNA:CR43302",3.16728598910172,13.3141471285199,2.05895128184093
"CG7800",1235.24153574967,1026.66867857698,1211.69282936338
"CG18249",66.5130057711361,7.39674840473326,10.2947564092046
"lncRNA:CR45551",60.9702552902081,10.3554477666266,73.0927705053529
"asRNA:CR45549",2.37546449182629,13.3141471285199,9.26528076828416
"DNApol-iota",1729.33815004954,2012.65524092792,2118.66086901431
"Ada2b",3120.56852076247,3115.51042807365,2844.44119586324
"CG9636",2978.83247275017,3257.52799744453,3936.71485087985
"CG15864",47.5092898365258,51.0375639926595,80.2990999917961
"mtg",1243.9515722197,1370.61747939707,1528.77132676689
"CR18228",30.0892168964663,61.3930117592861,20.5895128184093
"RpA-70",5769.21142914878,3784.91615870201,3773.0282239735
"Mcm2",7254.66855803748,8238.49837319191,7397.81195565445
"CG9630",2255.8994457377,2502.31998532126,2207.19577413347
"ato",14.2527869509577,18.4918710118332,35.0021717912957
"CG11671",0,6.65707356425994,3.08842692276139
"CG9626",156.780656460535,85.0626066544325,165.745578188195
"mRpL1",2772.16706196128,2994.20375423602,3124.4585701936
"nac",1091.92184474282,1071.78884384585,1151.98324219
"Sgt1",2900.4421445199,2744.93333299651,2954.59508944173
"tex",2450.68753406745,2849.96716034373,2415.14985359941
"CG7483",4997.97729080251,4860.40337675023,5187.52775459821
"Coq2",359.486959763045,535.524584502688,473.558794823413
"Ctr1B",18.2118944373349,2.21902452141998,0
"Poxm",3.16728598910172,0,1.02947564092046
"COX7A",14024.7423597424,14530.9122410985,13490.2487986217
"Arl2",1160.0184935085,1285.55487274264,1404.20477421551
"CG9601",1441.90694653856,1157.59112534076,1281.69717294598
"COX7AL",0,9.61577292615324,7.20632948644324
"DppIII",17419.2811185622,15844.5747577791,18981.4718672915
"CG7352",344.442351314812,474.131572743402,324.284826889946
"Atg13",2439.6020331056,2149.49508641549,2813.55692663562
"stck",4664.62044044955,5457.3209730122,5468.5746045695
"CG9684",3385.82872234974,2487.5264885118,2820.76325612207
"CG45263",395.910748637715,317.320506563057,328.402729453628
"CG11737",1224.94785628509,1397.98544849459,1075.80204476188
"CG31454",28.5055739019155,0,3.08842692276139
"pch2",7397.98824904434,8913.08182770358,8177.12501583124
"mRpS18A",3552.11123677758,3726.48184630462,3385.9453829874
"CG31460",16.628251442784,39.2027665450863,36.0316474322162
"asRNA:CR44291",65.7211842738606,87.2816311758525,74.1222461462733
"Cenp-C",2884.60571457439,3006.0385516836,3437.41916503343
"5-HT2B",8.71003647002972,0,0
"Cyp313b1",159.156120952361,125.744722880465,45.2969282005004
"Mkk4",7789.93989019567,7515.09637920899,8477.73190298001
"SLIRP2",369.780639227625,480.048971467189,438.556623032117
"Dhod",7732.13692089457,7938.19038795974,7082.79240953278
"CG11753",1824.35672972259,1719.74400410048,1470.09121523442
"CG42489",67.3048272684115,0,39.1200743549776
"bel",28589.5069806267,25484.0172788275,32279.2087210611
"p",1426.86233809032,1137.61990464798,1557.59664471266
"CG8032",897.133756413062,913.498427984558,1098.45050886213
"CG8036",28494.4884009536,30862.1930439091,30530.1296071372
"mRpL19",3072.26740942867,3073.34896216667,3125.48804583453
"CG9773",2028.64667601965,1829.21588049054,2125.86719850076
"CG8043",111.646831115836,435.668481038789,326.343778171787
"CG11755",257.341986614515,404.602137738909,348.992242272037
"hb",0,0,10.2947564092046
"Cks85A",1516.33816728245,2034.10581130165,1482.44492292547
"TMEM216",721.349384017916,619.107841476174,735.04560761721
"CG11760",37.2156103719452,22.1902452141998,31.9137448685343
"CG8136",4.75092898365258,14.0538219689932,14.4126589728865
"nom",710.26388305606,783.315656061252,650.628605061732
"ouib",13.4609654536823,0,0
"CG8159",308.018562440142,389.808640929443,316.049021762582
"ranshi",220.918197739845,151.633342297032,196.629847415808
"M1BP",7300.59420487946,6322.00086152552,6236.56343269616
"CG8202",3913.97366103245,3951.34299780851,4095.2540995816
"CG9801",1555.92924214622,1558.4948888773,1679.07477034127
"CG8223",874.962754489349,621.326865997594,853.435306323064
"CG13318",0,0,0
"CG34301",0,2.21902452141998,0
"Pif1A",4.75092898365258,0.739674840473326,6.17685384552278
"CG33191",0,0,10.2947564092046
