"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060284","BP","GO:0060284","regulation of cell development","29/272","348/12275",7.84660519109409e-10,1.4530486158417e-07,9.04049057423664e-08,"E(spl)mbeta-HLH/puc/Myc/Sema1a/Roc1a/Imp/bun/par-1/mago/InR/sgg/Pvr/spin/Prosap/mask/Gli/E2f1/cnc/cwo/Syx1A/sd/kis/kuz/sty/kibra/Rheb/Ras85D/mas/hid",29
"GO:0006457","BP","GO:0006457","protein folding","17/272","127/12275",2.7287195856635e-09,4.63200149666379e-07,2.88191086064812e-07,"Hsp26/CCT3/DnaJ-1/Pfdn2/CCT2/CG1890/Cnx99A/CCT6/Pfdn5/Pfdn6/Hsp68/boca/mgr/CCT1/Fkbp59/Hsp70Bc/Hsp23",17
"GO:0048589","BP","GO:0048589","developmental growth","29/272","375/12275",4.39800433126209e-09,6.51927560859035e-07,4.05612372826023e-07,"SkpA/Myc/Sema1a/Imp/bun/Arp3/par-1/InR/sgg/spin/Pdk1/arm/ben/Mob2/alpha-Spec/Prosap/Sep2/plum/kis/crb/Spn88Ea/ft/kuz/btsz/kibra/Rheb/Ras85D/hid/Fbxl7",29
"GO:0032879","BP","GO:0032879","regulation of localization","33/272","472/12275",4.4806017928456e-09,6.51927560859035e-07,4.05612372826023e-07,"puc/Moe/Cnx99A/cindr/east/Sema1a/mgl/par-1/Gprk2/CG30423/mago/zetaCOP/InR/sgg/tral/Pvr/Lsd-2/rho/Rab2/Prosap/Gli/Snx3/cnc/Syx1A/Arl1/kis/ens/crb/ft/kuz/Fkbp59/Rheb/Fbxl7",33
"GO:0007416","BP","GO:0007416","synapse assembly","19/272","169/12275",6.137402562384e-09,8.33459267971748e-07,5.18556679656866e-07,"SkpA/Sema1a/Imp/Arp3/par-1/sgg/spin/Pdk1/ben/Mob2/alpha-Spec/Prosap/AGO1/Gli/Spn/plum/kis/Pak3/Rheb",19
"GO:0045597","BP","GO:0045597","positive regulation of cell differentiation","18/272","160/12275",1.54141535895072e-08,1.96241442886414e-06,1.22096321853728e-06,"E(spl)mbeta-HLH/DnaJ-1/puc/Myc/Roc1a/Imp/dl/bun/InR/Pvr/Prosap/Gli/E2f1/kis/kuz/Rheb/Ras85D/mas",18
"GO:0051960","BP","GO:0051960","regulation of nervous system development","27/272","360/12275",2.96139909724314e-08,3.54845291828486e-06,2.20775511645866e-06,"E(spl)mbeta-HLH/SkpA/Myc/Sema1a/Roc1a/Imp/bun/Arp3/InR/sgg/spin/Mob2/alpha-Spec/Prosap/mask/Spn/cwo/plum/sd/kis/Pak3/kuz/sty/kibra/Rheb/Ras85D/mas",27
"GO:0048638","BP","GO:0048638","regulation of developmental growth","21/272","229/12275",3.69741932854272e-08,3.90069668374997e-06,2.42691202606256e-06,"SkpA/Myc/Sema1a/Arp3/InR/sgg/spin/Pdk1/Mob2/alpha-Spec/plum/kis/crb/ft/kuz/btsz/kibra/Rheb/Ras85D/hid/Fbxl7",21
"GO:0034330","BP","GO:0034330","cell junction organization","27/272","364/12275",3.72900774875656e-08,3.90069668374997e-06,2.42691202606256e-06,"SkpA/cindr/Sema1a/Imp/Arp3/par-1/sgg/spin/Pdk1/arm/ben/Mob2/Rab2/alpha-Spec/Prosap/AGO1/Gli/Spn/pasi1/plum/kis/CG44325/Pak3/crb/btsz/Rheb/CrebB",27
"GO:0009719","BP","GO:0009719","response to endogenous stimulus","23/272","273/12275",3.98472803208639e-08,3.90069668374997e-06,2.42691202606256e-06,"Trf2/SkpA/rpr/Sec13/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/spin/Pdk1/lwr/Eip75B/shn/sty/Rheb/Ras85D/DOR/HDAC4/hid/cbt",23
"GO:0010499","BP","GO:0010499","proteasomal ubiquitin-independent protein catabolic process","8/272","25/12275",4.09166467241574e-08,3.90069668374997e-06,2.42691202606256e-06,"Prosbeta4/Prosalpha3/Prosbeta1/Prosbeta3/Prosalpha4/Prosalpha2/Prosbeta5/Prosbeta2",8
"GO:0035220","BP","GO:0035220","wing disc development","29/272","415/12275",4.21282901534115e-08,3.90069668374997e-06,2.42691202606256e-06,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/sgg/CHOp24/arm/rho/CG14073/Su(Tpl)/Gli/Snx3/mwh/mirr/Arl1/sd/kis/crb/Spn88Ea/ft/shn/sty/Ras85D/cbt",29
"GO:0048737","BP","GO:0048737","imaginal disc-derived appendage development","27/272","370/12275",5.23455113044551e-08,4.63599158813804e-06,2.88439339178782e-06,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/arm/rho/CG42674/Gli/mwh/Syx1A/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/hid/e(y)3",27
"GO:0048736","BP","GO:0048736","appendage development","27/272","374/12275",6.53452777120757e-08,5.54618044581243e-06,3.45068922654996e-06,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/arm/rho/CG42674/Gli/mwh/Syx1A/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/hid/e(y)3",27
"GO:1902531","BP","GO:1902531","regulation of intracellular signal transduction","25/272","331/12275",8.65151588467388e-08,7.04925514283228e-06,4.38586321058836e-06,"SkpA/puc/Sec13/GEFmeso/Mkp3/par-1/Gprk2/InR/sgg/Pvr/Pdk1/ben/CG42674/scyl/E2f1/Pp1-87B/crb/Alg-2/ft/sty/kibra/Rheb/Gadd45/Ras85D/Fbxl7",25
"GO:0008283","BP","GO:0008283","cell population proliferation","26/272","361/12275",1.21702853843531e-07,9.53495051074129e-06,5.93239821974137e-06,"Xrp1/E(spl)mbeta-HLH/Pfdn2/Cyt-b5/Moe/Myc/Mkp3/Roc1a/dl/bun/InR/Pvr/rho/eIF4E1/alpha-Spec/AGO1/E2f1/mgr/lwr/sd/crb/ft/shn/kibra/Ras85D/Pkc98E",26
"GO:0070887","BP","GO:0070887","cellular response to chemical stimulus","29/272","437/12275",1.28455861183208e-07,9.6912810825998e-06,6.02966303565624e-06,"SkpA/rpr/puc/Sec13/Cnx99A/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/spin/Pdk1/Hsp68/lwr/GLaz/Eip75B/Idh/shn/sty/Rheb/Ras85D/DOR/HDAC4/Hsp70Bc/FASN1/cbt/CHES-1-like",29
"GO:0035114","BP","GO:0035114","imaginal disc-derived appendage morphogenesis","26/272","363/12275",1.35748564948095e-07,9.87570809997389e-06,6.14440872922955e-06,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/hid/e(y)3",26
"GO:0051240","BP","GO:0051240","positive regulation of multicellular organismal process","22/272","270/12275",1.43487799885101e-07,1.00787809781362e-05,6.27075539243781e-06,"E(spl)mbeta-HLH/puc/Myc/Roc1a/Imp/bun/Arp3/InR/tral/Pvr/Pdk1/ben/Prosap/Gli/E2f1/kis/Pak3/kuz/btsz/Rheb/Ras85D/mas",22
"GO:0035107","BP","GO:0035107","appendage morphogenesis","26/272","366/12275",1.59659922476719e-07,1.08409087361692e-05,6.74493146182348e-06,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/hid/e(y)3",26
"GO:0008219","BP","GO:0008219","cell death","26/272","371/12275",2.08363661324381e-07,1.36915089715408e-05,8.51850078894922e-06,"Ubi-p63E/Trf2/SkpA/lola/rpr/puc/Su(var)205/Myc/bun/Sirt1/Fis1/Pvr/spin/Pdk1/arm/ben/scyl/mask/E2f1/ft/Atg8a/kibra/Rheb/fwe/Ras85D/hid",26
"GO:0071310","BP","GO:0071310","cellular response to organic substance","24/272","325/12275",2.41062219458605e-07,1.53451169074118e-05,9.54733263908423e-06,"SkpA/Sec13/Cnx99A/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/spin/Pdk1/Hsp68/lwr/Eip75B/shn/sty/Rheb/Ras85D/DOR/HDAC4/Hsp70Bc/FASN1/cbt",24
"GO:0010720","BP","GO:0010720","positive regulation of cell development","16/272","152/12275",2.50612559497609e-07,1.54696298089888e-05,9.62480132807405e-06,"E(spl)mbeta-HLH/puc/Myc/Roc1a/Imp/bun/InR/Pvr/Prosap/Gli/E2f1/kis/kuz/Rheb/Ras85D/mas",16
"GO:0035120","BP","GO:0035120","post-embryonic appendage morphogenesis","25/272","353/12275",2.96518811437541e-07,1.77649652617139e-05,1.10528993489412e-05,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/RhoGAP71E/sgg/arm/rho/CG42674/Gli/mwh/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/e(y)3",25
"GO:1902533","BP","GO:1902533","positive regulation of intracellular signal transduction","17/272","174/12275",3.09921361217632e-07,1.79575781668672e-05,1.11727380889896e-05,"Sec13/Gprk2/InR/Pvr/Pdk1/ben/CG42674/E2f1/Pp1-87B/crb/Alg-2/ft/kibra/Rheb/Gadd45/Ras85D/Fbxl7",17
"GO:0030029","BP","GO:0030029","actin filament-based process","23/272","306/12275",3.17365151697212e-07,1.79575781668672e-05,1.11727380889896e-05,"Mlc-c/jvl/puc/Moe/cindr/RhoGAP18B/Arp3/Gprk2/sick/RhoGAP71E/tral/CanB2/mask/Spn/mwh/Arf51F/Pak3/crb/Arpc5/btsz/CG6891/Arpc3A/LamC",23
"GO:0012501","BP","GO:0012501","programmed cell death","24/272","331/12275",3.37368133011329e-07,1.8573483430921e-05,1.15559383256228e-05,"Ubi-p63E/Trf2/SkpA/lola/rpr/puc/Su(var)205/Myc/bun/Sirt1/Fis1/Pvr/spin/Pdk1/arm/scyl/mask/E2f1/ft/Atg8a/kibra/fwe/Ras85D/hid",24
"GO:1905879","BP","GO:1905879","regulation of oogenesis","11/272","70/12275",3.51141086516138e-07,1.87239029142588e-05,1.16495254159975e-05,"puc/par-1/mago/Pvr/spin/Gli/E2f1/cnc/Syx1A/kis/kuz",11
"GO:0009725","BP","GO:0009725","response to hormone","16/272","156/12275",3.58484150052082e-07,1.87239029142588e-05,1.16495254159975e-05,"Trf2/SkpA/rpr/Sec13/Myc/Roc1a/Blimp-1/Sirt1/InR/sgg/Pdk1/Eip75B/Rheb/DOR/HDAC4/hid",16
"GO:0071495","BP","GO:0071495","cellular response to endogenous stimulus","20/272","241/12275",4.03060351759954e-07,2.05258484133757e-05,1.27706490399733e-05,"SkpA/Sec13/Myc/Roc1a/Blimp-1/Sirt1/Crtc/InR/sgg/spin/Pdk1/lwr/Eip75B/shn/sty/Rheb/Ras85D/DOR/HDAC4/cbt",20
"GO:0031175","BP","GO:0031175","neuron projection development","30/272","492/12275",4.79168461663609e-07,2.37404559193421e-05,1.47706942236457e-05,"lola/Moe/Sema1a/Imp/Arp3/spen/robl/sick/InR/wb/sgg/rho/ben/alpha-Spec/Prosap/Spn/Psc/cnc/cwo/mirr/Pp1-87B/kis/fs(1)h/AP-1sigma/crb/kuz/shn/Rheb/mas/hid",30
"GO:0031399","BP","GO:0031399","regulation of protein modification process","23/272","314/12275",5.01148554016549e-07,2.37404559193421e-05,1.47706942236457e-05,"Lk6/SkpA/rpr/kek1/puc/stv/Su(var)205/Mkp3/Sirt1/Gug/par-1/InR/sgg/Pvr/ben/Ncoa6/Alg-2/Atg8a/sty/dod/Gadd45/Ras85D/SNF4Agamma",23
"GO:0044087","BP","GO:0044087","regulation of cellular component biogenesis","23/272","314/12275",5.01148554016549e-07,2.37404559193421e-05,1.47706942236457e-05,"SkpA/Su(var)205/Arp3/par-1/mago/sgg/spin/Mob2/alpha-Spec/Spn/mwh/cnc/Syx1A/Rpt4/plum/kis/Pak3/Rpt3/Arpc5/CG6891/Rheb/Arpc3A/LamC",23
"GO:0007472","BP","GO:0007472","wing disc morphogenesis","23/272","316/12275",5.60353764081349e-07,2.59418322144024e-05,1.61403333003336e-05,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/sgg/arm/rho/Gli/mwh/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D/cbt",23
"GO:0002164","BP","GO:0002164","larval development","16/272","163/12275",6.52426964696268e-07,2.95331939352511e-05,1.83747851577616e-05,"lola/Moe/Sec13/Gug/sgg/akirin/Pvr/arm/rho/SrpRbeta/E2f1/lwr/ft/btsz/sty/Ras85D",16
"GO:0007476","BP","GO:0007476","imaginal disc-derived wing morphogenesis","22/272","306/12275",1.22493543036155e-06,5.42433363401408e-05,3.37487930927988e-05,"lola/Myc/GEFmeso/Mkp3/lft/spen/Gug/par-1/Gprk2/sgg/arm/rho/Gli/mwh/mirr/sd/kis/Spn88Ea/ft/shn/sty/Ras85D",22
"GO:0009792","BP","GO:0009792","embryo development ending in birth or egg hatching","18/272","215/12275",1.37003751094928e-06,5.88030181637888e-05,3.65857085338096e-05,"Eb1/puc/Myc/Arp3/InR/sgg/Pvr/arm/rho/scyl/Myo10A/lwr/mirr/crb/shn/Ras85D/hid/cbt",18
"GO:0007167","BP","GO:0007167","enzyme linked receptor protein signaling pathway","20/272","261/12275",1.42205688169851e-06,5.88030181637888e-05,3.65857085338096e-05,"SkpA/kek1/Myc/Mkp3/Roc1a/spen/Gug/InR/sgg/Pvr/spin/Pdk1/rho/mask/shn/sty/Rheb/Ras85D/HDAC4/cbt",20
"GO:0007169","BP","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","17/272","194/12275",1.44337305262123e-06,5.88030181637888e-05,3.65857085338096e-05,"SkpA/kek1/Myc/Mkp3/Roc1a/spen/Gug/InR/sgg/Pvr/Pdk1/rho/mask/sty/Rheb/Ras85D/HDAC4",17
"GO:0042981","BP","GO:0042981","regulation of apoptotic process","17/272","194/12275",1.44337305262123e-06,5.88030181637888e-05,3.65857085338096e-05,"SkpA/rpr/puc/Su(var)205/Myc/bun/Sirt1/Pvr/spin/Pdk1/mask/E2f1/ft/kibra/fwe/Ras85D/hid",17
"GO:0019941","BP","GO:0019941","modification-dependent protein catabolic process","22/272","313/12275",1.78440826355321e-06,7.0552286728247e-05,4.38957978558817e-05,"Ubi-p63E/Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",22
"GO:0006915","BP","GO:0006915","apoptotic process","20/272","265/12275",1.80104021103036e-06,7.0552286728247e-05,4.38957978558817e-05,"SkpA/lola/rpr/puc/Su(var)205/Myc/bun/Sirt1/Fis1/Pvr/spin/Pdk1/scyl/mask/E2f1/ft/kibra/fwe/Ras85D/hid",20
"GO:0051124","BP","GO:0051124","synaptic growth at neuromuscular junction","14/272","136/12275",1.87103628846323e-06,7.19113381056529e-05,4.47413642762608e-05,"SkpA/Imp/Arp3/par-1/sgg/spin/Pdk1/ben/Mob2/alpha-Spec/Prosap/plum/kis/Rheb",14
"GO:0009968","BP","GO:0009968","negative regulation of signal transduction","22/272","315/12275",1.98254007811003e-06,7.47858173909282e-05,4.65297905271827e-05,"SkpA/kek1/puc/Mkp3/Roc1a/Gug/par-1/Gprk2/CG30423/sgg/spin/scyl/lwr/crb/Spn88Ea/Gprk1/sty/Rheb/Ras85D/HDAC4/E(spl)malpha-BFM/ken",22
"GO:0001700","BP","GO:0001700","embryonic development via the syncytial blastoderm","17/272","199/12275",2.05240726752921e-06,7.60137018901272e-05,4.72937483273716e-05,"Eb1/puc/Arp3/InR/sgg/Pvr/arm/rho/scyl/Myo10A/lwr/mirr/crb/shn/Ras85D/hid/cbt",17
"GO:0010648","BP","GO:0010648","negative regulation of cell communication","23/272","342/12275",2.19604501674629e-06,7.98811374841462e-05,4.96999661684686e-05,"SkpA/kek1/puc/Mkp3/Roc1a/Gug/par-1/Gprk2/CG30423/InR/sgg/spin/scyl/lwr/crb/Spn88Ea/Gprk1/sty/Rheb/Ras85D/HDAC4/E(spl)malpha-BFM/ken",23
"GO:0045926","BP","GO:0045926","negative regulation of growth","12/272","101/12275",2.27066424476769e-06,8.10435603872895e-05,5.04231954661378e-05,"SkpA/Sema1a/sgg/Mnt/scyl/Mob2/mirr/plum/crb/ft/kibra/Fbxl7",12
"GO:0023057","BP","GO:0023057","negative regulation of signaling","23/272","343/12275",2.30757314799351e-06,8.10435603872895e-05,5.04231954661378e-05,"SkpA/kek1/puc/Mkp3/Roc1a/Gug/par-1/Gprk2/CG30423/InR/sgg/spin/scyl/lwr/crb/Spn88Ea/Gprk1/sty/Rheb/Ras85D/HDAC4/E(spl)malpha-BFM/ken",23
"GO:0050808","BP","GO:0050808","synapse organization","21/272","294/12275",2.39219192491322e-06,8.25914398482752e-05,5.13862458090191e-05,"SkpA/Sema1a/Imp/Arp3/par-1/sgg/spin/Pdk1/ben/Mob2/Rab2/alpha-Spec/Prosap/AGO1/Gli/Spn/plum/kis/Pak3/Rheb/CrebB",21
"GO:0043632","BP","GO:0043632","modification-dependent macromolecule catabolic process","22/272","320/12275",2.56889022425921e-06,8.64522591815123e-05,5.37883471847355e-05,"Ubi-p63E/Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",22
"GO:0030163","BP","GO:0030163","protein catabolic process","24/272","371/12275",2.58889926856762e-06,8.64522591815123e-05,5.37883471847355e-05,"Ubi-p63E/Ubi-p5E/Oda/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/CG18815/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",24
"GO:0045893","BP","GO:0045893","positive regulation of transcription, DNA-templated","27/272","454/12275",2.98337503277637e-06,9.49552334650855e-05,5.90786766359006e-05,"Trf2/lola/Su(var)205/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/mirr/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/tna/CrebB/DOR/e(y)3/lncRNA:roX2",27
"GO:1902680","BP","GO:1902680","positive regulation of RNA biosynthetic process","27/272","454/12275",2.98337503277637e-06,9.49552334650855e-05,5.90786766359006e-05,"Trf2/lola/Su(var)205/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/mirr/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/tna/CrebB/DOR/e(y)3/lncRNA:roX2",27
"GO:1903508","BP","GO:1903508","positive regulation of nucleic acid-templated transcription","27/272","454/12275",2.98337503277637e-06,9.49552334650855e-05,5.90786766359006e-05,"Trf2/lola/Su(var)205/Sec13/Myc/dl/mbf1/Crtc/akirin/arm/Su(Tpl)/E2f1/CG32767/cnc/mirr/Rpt4/Ncoa6/Eip75B/sd/fs(1)h/Rpt3/shn/tna/CrebB/DOR/e(y)3/lncRNA:roX2",27
"GO:0043161","BP","GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process","18/272","229/12275",3.38132350024493e-06,0.000105965476461522,6.59289634703627e-05,"Prosbeta4/SkpA/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Fbxl7",18
"GO:0043900","BP","GO:0043900","regulation of multi-organism process","11/272","88/12275",3.65009682964219e-06,0.000112655261242138,7.00911735708006e-05,"puc/par-1/mago/Pvr/spin/Gli/E2f1/cnc/Syx1A/kis/kuz",11
"GO:0048585","BP","GO:0048585","negative regulation of response to stimulus","24/272","379/12275",3.74603395496685e-06,0.000113890614421903,7.08597781897893e-05,"SkpA/kek1/puc/Mkp3/Sema1a/Roc1a/Gug/par-1/Gprk2/CG30423/sgg/Pvr/spin/scyl/lwr/crb/Spn88Ea/Gprk1/sty/Rheb/Ras85D/HDAC4/E(spl)malpha-BFM/ken",24
"GO:0032870","BP","GO:0032870","cellular response to hormone stimulus","13/272","125/12275",3.90791869980416e-06,0.000117053543312909,7.28276702833072e-05,"SkpA/Sec13/Myc/Roc1a/Blimp-1/Sirt1/InR/sgg/Pdk1/Eip75B/Rheb/DOR/HDAC4",13
"GO:0090066","BP","GO:0090066","regulation of anatomical structure size","19/272","255/12275",3.96499483975979e-06,0.000117053543312909,7.28276702833072e-05,"lola/Myc/Sema1a/Arp3/InR/Pvr/Pdk1/Gli/mwh/pasi1/Arpc5/ft/kuz/btsz/CG6891/Rheb/Arpc3A/Ras85D/LamC",19
"GO:0030855","BP","GO:0030855","epithelial cell differentiation","26/272","434/12275",4.02448701919393e-06,0.000117112572258543,7.28643965580375e-05,"jvl/puc/cindr/bun/spen/par-1/Gprk2/InR/RhoGAP71E/sgg/Pvr/alpha-Spec/Gli/E2f1/mwh/pasi1/mirr/Rpt4/kis/CCT1/crb/ft/kuz/sty/kibra/Ras85D",26
"GO:0010941","BP","GO:0010941","regulation of cell death","19/272","258/12275",4.70357361553926e-06,0.000134946189504979,8.39600093863495e-05,"SkpA/rpr/puc/Su(var)205/Myc/bun/Sirt1/Pvr/spin/Pdk1/ben/mask/E2f1/ft/kibra/Rheb/fwe/Ras85D/hid",19
"GO:0006511","BP","GO:0006511","ubiquitin-dependent protein catabolic process","21/272","309/12275",5.23510739971271e-06,0.000148109913516872,9.21501361002061e-05,"Ubi-p5E/Prosbeta4/SkpA/rpr/Prosalpha3/Pomp/Prosbeta1/Prosbeta3/Roc1a/Prosalpha4/CG40045/sgg/Prosalpha2/Prosbeta5/Rpt4/crb/Rpt3/Prosbeta2/Rpn8/Ubqn/Fbxl7",21
"GO:0045934","BP","GO:0045934","negative regulation of nucleobase-containing compound metabolic process","26/272","441/12275",5.37506542289726e-06,0.000149986414608791,9.33176462749574e-05,"E(spl)mbeta-HLH/Su(var)205/Blimp-1/dl/Sirt1/Gug/mbf1/mago/arm/Mnt/AGO1/E2f1/CG32767/Psc/cwo/mirr/Eip75B/sd/kis/fs(1)h/vig2/shn/LamC/e(y)3/cbt/lncRNA:roX2",26
"GO:0048584","BP","GO:0048584","positive regulation of response to stimulus","27/272","469/12275",5.46693796759098e-06,0.000150488549188957,9.36300613510603e-05,"puc/Sec13/Imp/dl/spen/Gprk2/InR/akirin/Pvr/Pdk1/ben/CG42674/Prosap/E2f1/lwr/Pp1-87B/crb/Gprk1/Alg-2/ft/kibra/Rheb/Gadd45/Ras85D/hid/Fbxl7/cbt",27
