"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","enrichment_factor"
"GO:0030539","GO:0030539","male genitalia development","16/1975","23/12275",1.50439525066629e-08,1.21150042113712e-07,5.90522687338869e-08,"rpr/puc/Pvr/scaf/Abd-B/Myo31DF/ken/Fas2/salr/hep/otk2/salm/otk/slpr/bsk/Myo61F",16,4.32361034672537
"GO:0007482","GO:0007482","haltere development","9/1975","13/12275",2.73321464495928e-05,0.000119031084915674,5.80194236129853e-05,"Syx1A/trx/Ubx/ap/aos/Alh/wds/Egfr/hth",9,4.30282375851996
"GO:0042220","GO:0042220","response to cocaine","9/1975","13/12275",2.73321464495928e-05,0.000119031084915674,5.80194236129853e-05,"moody/EcR/InR/Tao/Bx/dco/Galphas/Pka-R2/cyc",9,4.30282375851996
"GO:0045217","GO:0045217","cell-cell junction maintenance","9/1975","13/12275",2.73321464495928e-05,0.000119031084915674,5.80194236129853e-05,"Csk/Rho1/Rab11/jar/bark/p120ctn/Rac1/crb/shi",9,4.30282375851996
"GO:1903688","GO:1903688","positive regulation of border follicle cell migration","23/1975","34/12275",2.34289391646969e-11,2.81440131715921e-10,1.37182604319607e-10,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/Cbl/aop/peb/shg/Catsup/Rac1/Diap1/bsk/Hrs/Egfr/kis/Tie/mbc",23,4.20439314966493
"GO:0043297","GO:0043297","apical junction assembly","31/1975","46/12275",8.68070683604987e-15,1.67962938310951e-13,8.18703187999052e-14,"arm/sdt/moody/Gli/pasi1/CG44325/dlg1/kst/scrib/aPKC/crok/cold/wol/Cont/shg/Lac/kune/pck/CG9628/bou/Tsf2/Nrx-IV/pasi2/loco/crim/crb/baz/vari/Pak/Galphao/Mcr",31,4.1884975233902
"GO:0120192","GO:0120192","tight junction assembly","26/1975","39/12275",1.91303783101696e-12,2.65158080135668e-11,1.29246229980144e-11,"sdt/moody/Gli/pasi1/CG44325/dlg1/scrib/crok/bark/cold/wol/Cont/Lac/kune/pck/CG9628/bou/Tsf2/Nrx-IV/pasi2/loco/crim/vari/Pak/Galphao/Mcr",26,4.14345991561181
"GO:0120193","GO:0120193","tight junction organization","26/1975","39/12275",1.91303783101696e-12,2.65158080135668e-11,1.29246229980144e-11,"sdt/moody/Gli/pasi1/CG44325/dlg1/scrib/crok/bark/cold/wol/Cont/Lac/kune/pck/CG9628/bou/Tsf2/Nrx-IV/pasi2/loco/crim/vari/Pak/Galphao/Mcr",26,4.14345991561181
"GO:0007368","GO:0007368","determination of left/right symmetry","8/1975","12/12275",0.000119001172950846,0.000453210543748069,0.000220908803294694,"puc/Myo31DF/Rho1/shg/Rac1/bsk/Moe/Myo61F",8,4.14345991561181
"GO:0045175","GO:0045175","basal protein localization","8/1975","12/12275",0.000119001172950846,0.000453210543748069,0.000220908803294694,"insc/jar/dlg1/Crag/scrib/flfl/Smn/baz",8,4.14345991561181
"GO:0046959","GO:0046959","habituation","8/1975","12/12275",0.000119001172950846,0.000453210543748069,0.000220908803294694,"sgg/AGO1/simj/wcy/G9a/for/Fmr1/me31B",8,4.14345991561181
"GO:0060232","GO:0060232","delamination","8/1975","12/12275",0.000119001172950846,0.000453210543748069,0.000220908803294694,"arm/Timp/aos/par-1/dlg1/aop/rk/baz",8,4.14345991561181
"GO:0090303","GO:0090303","positive regulation of wound healing","8/1975","12/12275",0.000119001172950846,0.000453210543748069,0.000220908803294694,"Rho1/Rok/Rac1/holn1/Egfr/dia/Cdc42/Cad96Ca",8,4.14345991561181
"GO:0019991","GO:0019991","septate junction assembly","24/1975","36/12275",1.38010344726767e-11,1.70035822156953e-10,8.28807063473836e-11,"moody/Gli/pasi1/CG44325/dlg1/scrib/crok/cold/wol/Cont/Lac/kune/pck/CG9628/bou/Tsf2/Nrx-IV/pasi2/loco/crim/vari/Pak/Galphao/Mcr",24,4.14345991561181
"GO:0046528","GO:0046528","imaginal disc fusion","14/1975","21/12275",2.81841169897584e-07,1.76640889742334e-06,8.61002200945709e-07,"puc/kay/Jra/Pvr/msn/Mnn1/hep/Src42A/slpr/bsk/Crk/alph/Dok/mbc",14,4.14345991561181
"GO:0046529","GO:0046529","imaginal disc fusion, thorax closure","14/1975","21/12275",2.81841169897584e-07,1.76640889742334e-06,8.61002200945709e-07,"puc/kay/Jra/Pvr/msn/Mnn1/hep/Src42A/slpr/bsk/Crk/alph/Dok/mbc",14,4.14345991561181
"GO:0048803","GO:0048803","imaginal disc-derived male genitalia morphogenesis","12/1975","18/12275",2.0868664137957e-06,1.12456745251832e-05,5.48148876028975e-06,"rpr/puc/Pvr/scaf/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",12,4.14345991561181
"GO:0046958","GO:0046958","nonassociative learning","10/1975","15/12275",1.56279092379636e-05,7.09531690284236e-05,3.45847639165874e-05,"sgg/AGO1/simj/dnc/wcy/G9a/for/Fmr1/me31B/Btk29A",10,4.14345991561181
"GO:0048056","GO:0048056","R3/R4 cell differentiation","10/1975","15/12275",1.56279092379636e-05,7.09531690284236e-05,3.45847639165874e-05,"kay/Jra/fz/grh/nej/Rala/bdg/scrib/aop/lola",10,4.14345991561181
"GO:0010634","GO:0010634","positive regulation of epithelial cell migration","23/1975","35/12275",5.79305650417012e-11,6.5753472053238e-10,3.20502711689478e-10,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/Cbl/aop/peb/shg/Catsup/Rac1/Diap1/bsk/Hrs/Egfr/kis/Tie/mbc",23,4.08426763110307
"GO:1903684","GO:1903684","regulation of border follicle cell migration","23/1975","35/12275",5.79305650417012e-11,6.5753472053238e-10,3.20502711689478e-10,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/Cbl/aop/peb/shg/Catsup/Rac1/Diap1/bsk/Hrs/Egfr/kis/Tie/mbc",23,4.08426763110307
"GO:0036335","GO:0036335","intestinal stem cell homeostasis","19/1975","29/12275",3.03159101032096e-09,2.59349462396301e-08,1.26414930463173e-08,"bun/PHGPx/Pvr/esg/Xbp1/Pi3K92E/cnc/InR/hep/Tao/Src42A/brm/sip3/Ras85D/rk/Cat/SERCA/upd3/H",19,4.07202095154954
"GO:0009826","GO:0009826","unidimensional cell growth","15/1975","23/12275",1.60862950571996e-07,1.07105747459368e-06,5.2206646168376e-07,"arm/scaf/raw/Rho1/sqh/Rab11/FER/arr/slpr/pan/shg/Rac1/tkv/Dok/Dad",15,4.05338470005504
"GO:0046627","GO:0046627","negative regulation of insulin receptor signaling pathway","15/1975","23/12275",1.60862950571996e-07,1.07105747459368e-06,5.2206646168376e-07,"ImpL2/Roc1a/sgg/HDAC4/trbl/Ptp61F/foxo/srl/Fmr1/wrd/SkpA/STUB1/Pp2A-29B/wdb/Cul1",15,4.05338470005504
"GO:1900077","GO:1900077","negative regulation of cellular response to insulin stimulus","15/1975","23/12275",1.60862950571996e-07,1.07105747459368e-06,5.2206646168376e-07,"ImpL2/Roc1a/sgg/HDAC4/trbl/Ptp61F/foxo/srl/Fmr1/wrd/SkpA/STUB1/Pp2A-29B/wdb/Cul1",15,4.05338470005504
"GO:0035099","GO:0035099","hemocyte migration","13/1975","20/12275",1.18154028386812e-06,6.62719968558716e-06,3.23030161573612e-06,"RhoL/Pvf1/Pvr/Pvf3/Pi3K92E/Rho1/sn/chb/Ras85D/shg/Pvf2/Rac1/Cdc42",13,4.03987341772152
"GO:0045571","GO:0045571","negative regulation of imaginal disc growth","11/1975","17/12275",8.75042664445771e-06,4.17673510198205e-05,2.03586956611207e-05,"Fbxl7/TSG101/Csk/ft/wts/dlg1/Fmr1/ago/scrib/Syx7/ex",11,4.02159344750558
"GO:0035216","GO:0035216","haltere disc development","9/1975","14/12275",6.55652026665808e-05,0.000265264795508276,0.000129298246345564,"Syx1A/trx/Ubx/ap/aos/Alh/wds/Egfr/hth",9,3.99547920433996
"GO:0061041","GO:0061041","regulation of wound healing","9/1975","14/12275",6.55652026665808e-05,0.000265264795508276,0.000129298246345564,"Rho1/grh/Rok/Rac1/holn1/Egfr/dia/Cdc42/Cad96Ca",9,3.99547920433996
"GO:0006032","GO:0006032","chitin catabolic process","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"Cht6/Idgf6/Cht2/Cht5/Cht10/Cht7/Cht9",7,3.95512082853855
"GO:0007394","GO:0007394","dorsal closure, elongation of leading edge cells","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"scaf/raw/Rab11/FER/slpr/Rac1/Dok",7,3.95512082853855
"GO:0010888","GO:0010888","negative regulation of lipid storage","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"ImpL2/trbl/foxo/CaMKII/bmm/wdb/mdy",7,3.95512082853855
"GO:0034334","GO:0034334","adherens junction maintenance","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"Csk/Rho1/Rab11/p120ctn/Rac1/crb/shi",7,3.95512082853855
"GO:0034975","GO:0034975","protein folding in endoplasmic reticulum","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"CG11781/EMC3/CG3678/CG11137/EMC1/Ero1L/P58IPK",7,3.95512082853855
"GO:1905953","GO:1905953","negative regulation of lipid localization","7/1975","11/12275",0.000499806481888807,0.00162818314947506,0.000793626706299801,"ImpL2/trbl/foxo/CaMKII/bmm/wdb/mdy",7,3.95512082853855
"GO:0035126","GO:0035126","post-embryonic genitalia morphogenesis","12/1975","19/12275",4.8324716221823e-06,2.4485089080407e-05,1.1934787930096e-05,"rpr/puc/Pvr/scaf/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",12,3.92538307794803
"GO:0048805","GO:0048805","imaginal disc-derived genitalia morphogenesis","12/1975","19/12275",4.8324716221823e-06,2.4485089080407e-05,1.1934787930096e-05,"rpr/puc/Pvr/scaf/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",12,3.92538307794803
"GO:0048808","GO:0048808","male genitalia morphogenesis","12/1975","19/12275",4.8324716221823e-06,2.4485089080407e-05,1.1934787930096e-05,"rpr/puc/Pvr/scaf/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",12,3.92538307794803
"GO:0090598","GO:0090598","male anatomical structure morphogenesis","12/1975","19/12275",4.8324716221823e-06,2.4485089080407e-05,1.1934787930096e-05,"rpr/puc/Pvr/scaf/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",12,3.92538307794803
"GO:0044331","GO:0044331","cell-cell adhesion mediated by cadherin","10/1975","16/12275",3.56476316850805e-05,0.000151623799422946,7.3906118345157e-05,"Cad88C/ft/Cad86C/mbt/Cad99C/Cad87A/Cals/shg/kug/CadN",10,3.88449367088608
"GO:0050921","GO:0050921","positive regulation of chemotaxis","10/1975","16/12275",3.56476316850805e-05,0.000151623799422946,7.3906118345157e-05,"Rheb/S6k/fz/raptor/pk/Vang/Wnt5/mmy/Rac1/sli",10,3.88449367088608
"GO:0060857","GO:0060857","establishment of glial blood-brain barrier","10/1975","16/12275",3.56476316850805e-05,0.000151623799422946,7.3906118345157e-05,"moody/pasi1/Cont/kune/pck/cora/Nrx-IV/pasi2/loco/Galphao",10,3.88449367088608
"GO:0042059","GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","18/1975","29/12275",2.79860222733305e-08,2.11768247280871e-07,1.03222378049168e-07,"ed/Mkp3/Sulf1/sty/Ptp61F/CG4096/kek1/Fas2/edl/aos/Gug/Ptp4E/rno/Src42A/Cbl/tay/Pi3K68D/hppy",18,3.85770405936272
"GO:0046330","GO:0046330","positive regulation of JNK cascade","18/1975","29/12275",2.79860222733305e-08,2.11768247280871e-07,1.03222378049168e-07,"Pvf1/Pvr/PEK/Alg-2/Mnn1/hep/Cka/slpr/Rac1/Crk/rdx/grnd/ben/Mekk1/hppy/Cdc42/ALiX/mbc",18,3.85770405936272
"GO:1901185","GO:1901185","negative regulation of ERBB signaling pathway","18/1975","29/12275",2.79860222733305e-08,2.11768247280871e-07,1.03222378049168e-07,"ed/Mkp3/Sulf1/sty/Ptp61F/CG4096/kek1/Fas2/edl/aos/Gug/Ptp4E/rno/Src42A/Cbl/tay/Pi3K68D/hppy",18,3.85770405936272
"GO:1905268","GO:1905268","negative regulation of chromatin organization","18/1975","29/12275",2.79860222733305e-08,2.11768247280871e-07,1.03222378049168e-07,"lncRNA:roX2/lncRNA:roX1/e(y)3/FRG1/CoRest/Kdm2/sktl/ash1/HP1b/PR-Set7/su(Hw)/ash2/JIL-1/ctrip/e(y)2/HDAC1/hyd/Mekk1",18,3.85770405936272
"GO:0035112","GO:0035112","genitalia morphogenesis","13/1975","21/12275",2.64355134407023e-06,1.40615470940119e-05,6.8540319369465e-06,"rpr/puc/Pvr/scaf/Abd-B/Myo31DF/Fas2/hep/otk2/otk/slpr/bsk/Myo61F",13,3.84749849306811
"GO:0031440","GO:0031440","regulation of mRNA 3'-end processing","8/1975","13/12275",0.00026567161535285,0.000925037762152497,0.000450891948253312,"Rbp1-like/SC35/elav/Fmr1/swm/Srp54/Rbp1/Rsf1",8,3.82473222979552
"GO:0046348","GO:0046348","amino sugar catabolic process","8/1975","13/12275",0.00026567161535285,0.000925037762152497,0.000450891948253312,"Cht6/Idgf6/Cht2/Cht5/Cht10/Oscillin/Cht7/Cht9",8,3.82473222979552
"GO:1901072","GO:1901072","glucosamine-containing compound catabolic process","8/1975","13/12275",0.00026567161535285,0.000925037762152497,0.000450891948253312,"Cht6/Idgf6/Cht2/Cht5/Cht10/Oscillin/Cht7/Cht9",8,3.82473222979552
"GO:2000377","GO:2000377","regulation of reactive oxygen species metabolic process","8/1975","13/12275",0.00026567161535285,0.000925037762152497,0.000450891948253312,"Sesn/Rel/Rheb/Fdh/Pi3K92E/InR/SelD/CG1764",8,3.82473222979552
"GO:0048010","GO:0048010","vascular endothelial growth factor receptor signaling pathway","19/1975","31/12275",1.5396686057502e-08,1.23301794177162e-07,6.01010990841086e-08,"Thor/Pvf1/Pvr/Pvf3/S6k/Pi3K92E/Ptp61F/hep/Socs16D/slpr/Akt1/aop/Ras85D/Pvf2/Rac1/bsk/Crk/Cdc42/mbc",19,3.80930992241731
"GO:0030335","GO:0030335","positive regulation of cell migration","30/1975","49/12275",1.03621324532747e-12,1.50120743029101e-11,7.31734822804642e-12,"puc/kay/spri/Pvf1/Pvr/Pvf3/ena/Gli/slbo/kuz/hep/ttk/Cbl/aop/peb/shg/Catsup/Pvf2/Rac1/Diap1/bsk/Fhos/Hrs/Sema1a/Egfr/kis/Tie/unc-5/sli/mbc",30,3.80521828984758
"GO:1905881","GO:1905881","positive regulation of oogenesis","25/1975","41/12275",9.30591279242917e-11,1.0075025305616e-09,4.9108782091014e-10,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/E2f1/Cbl/aop/peb/shg/Catsup/Rac1/Diap1/bsk/Hrs/Egfr/kis/didum/Tie/mbc",25,3.78974992281568
"GO:0010632","GO:0010632","regulation of epithelial cell migration","28/1975","46/12275",7.28436501432311e-12,9.4598307821142e-11,4.61101341589443e-11,"puc/kay/spri/Pvf1/Pvr/Gli/slbo/kuz/hep/ttk/Cbl/Sin3A/aop/peb/shg/Catsup/Rac1/Diap1/bsk/Pu/Hrs/ple/bnl/Egfr/kis/Tie/sli/mbc",28,3.7831590533847
"GO:0018108","GO:0018108","peptidyl-tyrosine phosphorylation","15/1975","25/12275",7.76594631248971e-07,4.50165699681587e-06,2.19424652344932e-06,"Csk/Ptp61F/kek1/aos/Src64B/FER/smal/Src42A/ASPP/Abl/Cbl/Btk29A/Ptpmeg2/Tie/pcs",15,3.72911392405063
"GO:0042058","GO:0042058","regulation of epidermal growth factor receptor signaling pathway","24/1975","40/12275",3.57698530529246e-10,3.50763559018985e-09,1.70972981831917e-09,"ed/Mkp3/Sulf1/sty/Ptp61F/CG4096/kek1/Fas2/edl/aos/Gug/Ptp4E/rho/Src64B/rno/Src42A/dlg1/Cbl/scrib/tay/Pi3K68D/rau/hppy/Vps4",24,3.72911392405063
"GO:1901184","GO:1901184","regulation of ERBB signaling pathway","24/1975","40/12275",3.57698530529246e-10,3.50763559018985e-09,1.70972981831917e-09,"ed/Mkp3/Sulf1/sty/Ptp61F/CG4096/kek1/Fas2/edl/aos/Gug/Ptp4E/rho/Src64B/rno/Src42A/dlg1/Cbl/scrib/tay/Pi3K68D/rau/hppy/Vps4",24,3.72911392405063
"GO:0035019","GO:0035019","somatic stem cell population maintenance","12/1975","20/12275",1.03088686296536e-05,4.84046714320707e-05,2.35939304313176e-05,"arm/His2Av/sgg/esg/scny/dom/da/shg/CG46339/mam/H/Med",12,3.72911392405063
"GO:1903036","GO:1903036","positive regulation of response to wounding","12/1975","20/12275",1.03088686296536e-05,4.84046714320707e-05,2.35939304313176e-05,"Rho1/Rok/Akt1/Rac1/Archease/holn1/Imp/Egfr/spict/dia/Cdc42/Cad96Ca",12,3.72911392405063
"GO:0007303","GO:0007303","cytoplasmic transport, nurse cell to oocyte","9/1975","15/12275",0.000140471142809507,0.000527315500937249,0.000257029846012461,"ena/sqh/lark/jar/Abl/cpb/Khc/loco/cher",9,3.72911392405063
"GO:1902669","GO:1902669","positive regulation of axon guidance","9/1975","15/12275",0.000140471142809507,0.000527315500937249,0.000257029846012461,"Rheb/S6k/fz/raptor/pk/Vang/Wnt5/mmy/Rac1",9,3.72911392405063
"GO:0030588","GO:0030588","pseudocleavage","6/1975","10/12275",0.00200917321912072,0.00574647459397326,0.0028010090304158,"Eb1/sgg/Arp3/Rho1/jar/dia",6,3.72911392405063
"GO:0030589","GO:0030589","pseudocleavage involved in syncytial blastoderm formation","6/1975","10/12275",0.00200917321912072,0.00574647459397326,0.0028010090304158,"Eb1/sgg/Arp3/Rho1/jar/dia",6,3.72911392405063
"GO:0048934","GO:0048934","peripheral nervous system neuron differentiation","6/1975","10/12275",0.00200917321912072,0.00574647459397326,0.0028010090304158,"dl/Rel/Dredd/Dif/Tollo/egh",6,3.72911392405063
"GO:0048935","GO:0048935","peripheral nervous system neuron development","6/1975","10/12275",0.00200917321912072,0.00574647459397326,0.0028010090304158,"dl/Rel/Dredd/Dif/Tollo/egh",6,3.72911392405063
"GO:1903828","GO:1903828","negative regulation of cellular protein localization","6/1975","10/12275",0.00200917321912072,0.00574647459397326,0.0028010090304158,"rho/wts/Mi-2/peb/rdx/CG30423",6,3.72911392405063
"GO:0042067","GO:0042067","establishment of ommatidial planar polarity","37/1975","62/12275",7.41430446748637e-15,1.45411154964375e-13,7.08778837385915e-14,"kay/ed/Jra/nmo/Frl/Dl/ec/sty/ft/fz/grh/nej/aos/fw/pk/hbs/sca/Rok/d/Rala/bdg/dco/Vang/scrib/aop/Ras85D/peb/shg/fj/rdx/lola/CadN/Egfr/Pcyt1/dgo/S/Cdc42",37,3.70906492445896
"GO:0040017","GO:0040017","positive regulation of locomotion","41/1975","69/12275",3.18657006892373e-16,7.3495052069657e-15,3.58237561432689e-15,"puc/kay/spri/Pvf1/Rheb/Pvr/Pvf3/ena/S6k/Gli/slbo/Ten-m/Ten-a/kuz/fz/hep/ttk/raptor/pk/Cbl/Vang/Wnt5/Bug22/aop/peb/shg/Catsup/Pvf2/mmy/Rac1/Diap1/bsk/Fhos/Hrs/Sema1a/Egfr/kis/Tie/unc-5/sli/mbc",41,3.69308383782792
"GO:0048872","GO:0048872","homeostasis of number of cells","19/1975","32/12275",3.21818122037121e-08,2.40987440476109e-07,1.17464714400426e-07,"bun/PHGPx/Pvr/esg/Xbp1/Pi3K92E/cnc/InR/hep/Tao/Src42A/brm/sip3/Ras85D/rk/Cat/SERCA/upd3/H",19,3.69026898734177
"GO:0035315","GO:0035315","hair cell differentiation","29/1975","49/12275",8.30587020711584e-12,1.05488210604031e-10,5.14182087943411e-11,"ovo/fry/Gli/ft/Rho1/Nost/sqh/fz/sn/fw/pk/ck/Rok/par-1/dco/Mbs/scrib/ATP6AP2/cora/Rac1/fj/vri/spen/mwh/flr/LIMK1/dgo/Cdc42/Galphao",29,3.678377680186
"GO:0035316","GO:0035316","non-sensory hair organization","29/1975","49/12275",8.30587020711584e-12,1.05488210604031e-10,5.14182087943411e-11,"ovo/fry/Gli/ft/Rho1/Nost/sqh/fz/sn/fw/pk/ck/Rok/par-1/dco/Mbs/scrib/ATP6AP2/cora/Rac1/fj/vri/spen/mwh/flr/LIMK1/dgo/Cdc42/Galphao",29,3.678377680186
"GO:0034331","GO:0034331","cell junction maintenance","13/1975","22/12275",5.50871441520894e-06,2.75722632969573e-05,1.34395719011402e-05,"Csk/Ten-m/Ten-a/Rho1/Rab11/jar/alpha-Spec/bark/p120ctn/Rac1/crb/beta-Spec/shi",13,3.67261219792865
"GO:0007043","GO:0007043","cell-cell junction assembly","36/1975","61/12275",2.79781248437928e-14,5.04130837029092e-13,2.4572892543726e-13,"arm/cindr/sdt/moody/Gli/pasi1/CG44325/kirre/Src64B/dlg1/kst/scrib/aPKC/crok/bark/cold/wol/p120ctn/Cont/shg/Lac/kune/pck/CG9628/bou/Tsf2/Nrx-IV/pasi2/loco/crim/crb/baz/vari/Pak/Galphao/Mcr",36,3.66798090890226
"GO:0010591","GO:0010591","regulation of lamellipodium assembly","10/1975","17/12275",7.40722103145416e-05,0.000294958815382353,0.000143772027871348,"Arp3/ena/hep/SCAR/Abl/aPKC/Rac1/HSPC300/cpb/Cdc42",10,3.6559940431869
"GO:0045176","GO:0045176","apical protein localization","10/1975","17/12275",7.40722103145416e-05,0.000294958815382353,0.000143772027871348,"insc/Rheb/sdt/Cad99C/aPKC/shg/Vha26/Rab35/crb/baz",10,3.6559940431869
"GO:0048100","GO:0048100","wing disc anterior/posterior pattern formation","10/1975","17/12275",7.40722103145416e-05,0.000294958815382353,0.000143772027871348,"dally/Dl/Sulf1/shn/Ser/fng/bi/tkv/ci/inv",10,3.6559940431869
"GO:0090162","GO:0090162","establishment of epithelial cell polarity","10/1975","17/12275",7.40722103145416e-05,0.000294958815382353,0.000143772027871348,"sgg/sdt/yrt/ft/fz/scrib/aPKC/Dlish/fj/DCTN1-p150",10,3.6559940431869
"GO:1902743","GO:1902743","regulation of lamellipodium organization","10/1975","17/12275",7.40722103145416e-05,0.000294958815382353,0.000143772027871348,"Arp3/ena/hep/SCAR/Abl/aPKC/Rac1/HSPC300/cpb/Cdc42",10,3.6559940431869
"GO:0008347","GO:0008347","glial cell migration","17/1975","29/12275",2.2468378269093e-07,1.45356484103514e-06,7.08512354740827e-07,"spin/NetB/Dl/kuz/Rho1/nej/pyr/XNP/Rac1/CSN5/btl/bnl/tgo/unc-5/numb/sli/fzr",17,3.64338716717591
"GO:0035088","GO:0035088","establishment or maintenance of apical/basal cell polarity","24/1975","41/12275",7.31307098912715e-10,6.63005775523697e-09,3.23169472707208e-09,"sdt/yrt/scaf/TSG101/Csk/ft/Rho1/fz/dlg1/scrib/aPKC/Dg/TBCB/Ras85D/Cont/Syx7/fj/DCTN1-p150/Moe/trol/Egfr/crb/baz/Vps4",24,3.63815992590306
"GO:0061245","GO:0061245","establishment or maintenance of bipolar cell polarity","24/1975","41/12275",7.31307098912715e-10,6.63005775523697e-09,3.23169472707208e-09,"sdt/yrt/scaf/TSG101/Csk/ft/Rho1/fz/dlg1/scrib/aPKC/Dg/TBCB/Ras85D/Cont/Syx7/fj/DCTN1-p150/Moe/trol/Egfr/crb/baz/Vps4",24,3.63815992590306
