"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030163","GO:0030163","protein catabolic process","30/284","371/12275",2.2800916554281e-09,3.77165161335397e-07,2.64210620773729e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/CG18815/Pka-C1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",30
"GO:0010499","GO:0010499","proteasomal ubiquitin-independent protein catabolic process","9/284","25/12275",2.47231613936487e-09,3.7750365666456e-07,2.644477425183e-07,"Prosbeta4/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Prosalpha2/Prosbeta6",9
"GO:0006511","GO:0006511","ubiquitin-dependent protein catabolic process","27/284","309/12275",2.8665036327775e-09,4.06429265075953e-07,2.84710623977375e-07,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/Prosbeta6/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",27
"GO:0043297","GO:0043297","apical junction assembly","11/284","46/12275",5.4483256819599e-09,7.2099509857936e-07,5.05069349183791e-07,"pasi1/CG44325/crok/cold/shg/Cont/Lac/pck/kune/wol/arm",11
"GO:0120192","GO:0120192","tight junction assembly","10/284","39/12275",1.31889560646265e-08,1.54000457578139e-06,1.07879944033261e-06,"pasi1/CG44325/crok/bark/cold/Cont/Lac/pck/kune/wol",10
"GO:0120193","GO:0120193","tight junction organization","10/284","39/12275",1.31889560646265e-08,1.54000457578139e-06,1.07879944033261e-06,"pasi1/CG44325/crok/bark/cold/Cont/Lac/pck/kune/wol",10
"GO:0045595","GO:0045595","regulation of cell differentiation","31/284","432/12275",2.07398344339417e-08,2.28714285285413e-06,1.60218253141737e-06,"E(spl)mbeta-HLH/Cyt-b5/Roc1a/Rho1/aop/ed/Rab1/lwr/mago/Rheb/Nedd8/Ras85D/PlexA/Catsup/vvl/shg/Pka-C1/peb/DnaJ-1/E(spl)m3-HLH/Rab11/lqf/sina/mav/mmy/cv-c/hid/kay/E(spl)m7-HLH/bun/puc",31
"GO:0019991","GO:0019991","septate junction assembly","9/284","36/12275",9.1105160658012e-08,9.51809178453441e-06,6.66758544206281e-06,"pasi1/CG44325/crok/cold/Cont/Lac/pck/kune/wol",9
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity","20/284","215/12275",1.26573612429167e-07,1.25624310335948e-05,8.80019694836473e-06,"Rho1/aop/ed/Eb1/Dg/Pfdn2/TBCB/mago/Ras85D/shg/Pka-C1/peb/Rab6/Cont/Rab11/Parp/Arp1/capt/cv-c/kay",20
"GO:0035151","GO:0035151","regulation of tube size, open tracheal system","10/284","49/12275",1.38963071478274e-07,1.25646055416066e-05,8.80172022827115e-06,"Rho1/pasi1/crok/bark/cold/Lac/pck/kune/knk/mmy",10
"GO:0060284","GO:0060284","regulation of cell development","26/284","348/12275",1.39255074012768e-07,1.25646055416066e-05,8.80172022827115e-06,"E(spl)mbeta-HLH/Roc1a/Rho1/aop/ed/Rab1/mago/Rheb/Ras85D/PlexA/Catsup/vvl/shg/Pka-C1/peb/E(spl)m3-HLH/Rab11/sina/mav/mmy/cv-c/hid/kay/E(spl)m7-HLH/bun/puc",26
"GO:0051094","GO:0051094","positive regulation of developmental process","22/284","263/12275",1.92694737764961e-07,1.66303936723238e-05,1.16498740772317e-05,"E(spl)mbeta-HLH/Roc1a/aop/Rab1/Arp3/Fis1/Rheb/Ras85D/PlexA/Catsup/shg/peb/DnaJ-1/E(spl)m3-HLH/Cals/ImpL2/mmy/hid/kay/bun/puc/Pdk1",22
"GO:0016331","GO:0016331","morphogenesis of embryonic epithelium","15/284","128/12275",2.55108318389127e-07,2.1099583833434e-05,1.47806179207034e-05,"Rho1/aop/ed/lwr/Ras85D/peb/Lac/Rab11/knk/mmy/cv-c/kay/puc/rho/arm",15
"GO:0035150","GO:0035150","regulation of tube size","10/284","53/12275",3.03859992288074e-07,2.41264833876731e-05,1.69010126236861e-05,"Rho1/pasi1/crok/bark/cold/Lac/pck/kune/knk/mmy",10
"GO:0006888","GO:0006888","endoplasmic reticulum to Golgi vesicle-mediated transport","11/284","68/12275",3.98471605219556e-07,3.04217744754161e-05,2.13109712751026e-05,"loj/CHOp24/Sec13/boca/Rab1/p24-1/CG13887/Arl1/epsilonCOP/cni/Bet1",11
"GO:0090066","GO:0090066","regulation of anatomical structure size","21/284","255/12275",4.78086349811997e-07,3.51482001621042e-05,2.4621912986419e-05,"Rho1/pasi1/Arp3/crok/Rheb/bark/Arpc4/Ras85D/cold/Arpc3A/Nipped-B/Lac/pck/kune/knk/Kank/Pvf2/mav/mmy/icln/Pdk1",21
"GO:0044265","GO:0044265","cellular macromolecule catabolic process","30/284","472/12275",5.0354580931656e-07,3.56978011247633e-05,2.5006917823578e-05,"SkpA/Prosbeta4/Pomp/Roc1a/Prosalpha3/Prosbeta1/Prosalpha4/Prosbeta3/Prosalpha7/Prosbeta5/Rpt3/Rpn8/CG40045/Nedd8/Prosalpha2/Rpn5/Rpt4/Ubi-p5E/Pka-C1/mbf1/Prosbeta6/Ubi-p63E/CkIIalpha/Rad23/Rpn11/Rpt5/gus/sina/Vsp37A/rpr",30
"GO:0048193","GO:0048193","Golgi vesicle transport","15/284","136/12275",5.65248810182084e-07,3.86903064900495e-05,2.71032188112716e-05,"loj/CHOp24/Sec13/boca/Rab1/Arf102F/p24-1/CG13887/Arl1/epsilonCOP/Rab6/Rab11/cni/Bet1/Syx18",15
"GO:0045597","GO:0045597","positive regulation of cell differentiation","16/284","160/12275",9.01321445506441e-07,5.9587985515938e-05,4.17423989747072e-05,"E(spl)mbeta-HLH/Roc1a/aop/Rab1/Rheb/Ras85D/PlexA/Catsup/shg/peb/DnaJ-1/E(spl)m3-HLH/mmy/kay/bun/puc",16
"GO:0034329","GO:0034329","cell junction assembly","19/284","222/12275",9.52381475996666e-07,5.9587985515938e-05,4.17423989747072e-05,"SkpA/pasi1/CG44325/Arp3/crok/Rheb/bark/cold/shg/Cont/Lac/p120ctn/pck/Cals/kune/wol/kay/arm/Pdk1",19
"GO:0030334","GO:0030334","regulation of cell migration","11/284","74/12275",9.60612360962225e-07,5.9587985515938e-05,4.17423989747072e-05,"Rho1/aop/Rab1/Arl1/PlexA/Catsup/shg/peb/Pvf2/kay/puc",11
"GO:0034330","GO:0034330","cell junction organization","25/284","364/12275",1.17748753341486e-06,7.08276592069243e-05,4.96159818705274e-05,"SkpA/Rho1/pasi1/Rab1/CG44325/Arp3/crok/Rheb/bark/cold/shg/Cont/Lac/ATP6AP2/p120ctn/pck/Cals/kune/Rab11/wol/mav/Syx18/kay/arm/Pdk1",25
"GO:0006457","GO:0006457","protein folding","14/284","127/12275",1.36264838013265e-06,7.9554618663627e-05,5.5729365639481e-05,"Hsp26/boca/Pfdn5/CG1890/Pfdn2/Hsp68/CG11781/DnaJ-1/Pfdn6/sel/CCT3/Hsp70Bc/CCT6/CCT2",14
"GO:0007391","GO:0007391","dorsal closure","13/284","111/12275",1.63839681714677e-06,8.83570195253215e-05,6.18955973978257e-05,"Rho1/aop/ed/lwr/Ras85D/peb/Rab11/mmy/cv-c/kay/puc/rho/arm",13
"GO:0040012","GO:0040012","regulation of locomotion","13/284","111/12275",1.63839681714677e-06,8.83570195253215e-05,6.18955973978257e-05,"Rho1/aop/Rab1/Rheb/Arl1/PlexA/Catsup/shg/peb/Pvf2/mmy/kay/puc",13
"GO:2000145","GO:2000145","regulation of cell motility","11/284","78/12275",1.64695703901103e-06,8.83570195253215e-05,6.18955973978257e-05,"Rho1/aop/Rab1/Arl1/PlexA/Catsup/shg/peb/Pvf2/kay/puc",11
"GO:0048749","GO:0048749","compound eye development","26/284","397/12275",1.74401353227468e-06,9.11017595148747e-05,6.3818334518971e-05,"Rho1/aop/ed/Arf102F/Ras85D/Arf51F/shg/Pka-C1/peb/Rab6/CkIIalpha/AP-1sigma/Gp150/ATP6AP2/p120ctn/Rip11/Rab11/capt/sina/hid/kay/bun/puc/rho/arm/mbl",26
"GO:0051270","GO:0051270","regulation of cellular component movement","13/284","113/12275",2.00980917103218e-06,0.000102294133448689,7.16587831291097e-05,"Rho1/aop/Rab1/Rheb/Arl1/PlexA/Catsup/shg/peb/Pvf2/mmy/kay/puc",13
"GO:0021700","GO:0021700","developmental maturation","19/284","235/12275",2.24133682115557e-06,0.000111226339749845,7.79159458091186e-05,"SkpA/Roc1a/Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/Cont/CkIIalpha/Rab11/cni/sel/glo/gus/capt/rk/Ddc",19
"GO:0010720","GO:0010720","positive regulation of cell development","15/284","152/12275",2.3476894377941e-06,0.000113662525220032,7.96225352330169e-05,"E(spl)mbeta-HLH/Roc1a/aop/Rab1/Rheb/Ras85D/PlexA/Catsup/shg/peb/E(spl)m3-HLH/mmy/kay/bun/puc",15
"GO:0001700","GO:0001700","embryonic development via the syncytial blastoderm","17/284","199/12275",3.68578037465536e-06,0.000174197001040259,0.000122027966789968,"Rho1/aop/ed/Eb1/Arp3/lwr/Ras85D/shg/peb/Rab11/mmy/cv-c/hid/kay/puc/rho/arm",17
"GO:0006886","GO:0006886","intracellular protein transport","26/284","415/12275",3.94234196314868e-06,0.000181989506903491,0.00012748674989766,"loj/CHOp24/Sec13/boca/Spase12/Tom7/Arp3/Srp9/Tim17b/Hel25E/Arf102F/p24-1/CG13887/Arl1/Srp54k/Vps29/Arf51F/Rab6/Tom20/AP-1sigma/Rab11/CG34132/Sec63/Kap-alpha3/Vsp37A/rho",26
"GO:0048584","GO:0048584","positive regulation of response to stimulus","28/284","469/12275",4.17789050948102e-06,0.000188479833211814,0.000132033334043647,"Rho1/Sec13/ed/Fkbp14/Gprk1/akirin/lwr/Rheb/Ras85D/Pp1-87B/vvl/Pka-C1/Ssdp/Alg-2/CkIIalpha/ATP6AP2/E(spl)m2-BFM/lqf/ImpL2/Parp/Pvf2/CG15611/mav/mmy/Gadd45/hid/puc/Pdk1",28
"GO:0035160","GO:0035160","maintenance of epithelial integrity, open tracheal system","5/284","12/12275",4.43728734022996e-06,0.000195733674896811,0.000137114773717983,"shg/peb/Lac/cv-c/rho",5
"GO:0048599","GO:0048599","oocyte development","15/284","162/12275",5.1937648821114e-06,0.000224122245456329,0.000157001451013024,"Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/CkIIalpha/Rab11/cni/jagn/sel/glo/gus/capt",15
"GO:0071695","GO:0071695","anatomical structure maturation","17/284","205/12275",5.50696239638294e-06,0.000232267192125143,0.000162707124909089,"SkpA/Roc1a/Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/Cont/CkIIalpha/Rab11/cni/sel/glo/gus/capt",17
"GO:0007309","GO:0007309","oocyte axis specification","14/284","143/12275",5.61653663577173e-06,0.000232267192125143,0.000162707124909089,"Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/CkIIalpha/Rab11/cni/sel/glo/gus/capt",14
"GO:2000058","GO:2000058","regulation of ubiquitin-dependent protein catabolic process","8/284","44/12275",6.39635586338735e-06,0.000259117681404569,0.000181516350065192,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/sina/rpr",8
"GO:0007308","GO:0007308","oocyte construction","14/284","146/12275",7.15867647511143e-06,0.000268497626676548,0.000188087161521792,"Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/CkIIalpha/Rab11/cni/sel/glo/gus/capt",14
"GO:0001654","GO:0001654","eye development","26/284","429/12275",7.16895426390782e-06,0.000268497626676548,0.000188087161521792,"Rho1/aop/ed/Arf102F/Ras85D/Arf51F/shg/Pka-C1/peb/Rab6/CkIIalpha/AP-1sigma/Gp150/ATP6AP2/p120ctn/Rip11/Rab11/capt/sina/hid/kay/bun/puc/rho/arm/mbl",26
"GO:0048880","GO:0048880","sensory system development","26/284","429/12275",7.16895426390782e-06,0.000268497626676548,0.000188087161521792,"Rho1/aop/ed/Arf102F/Ras85D/Arf51F/shg/Pka-C1/peb/Rab6/CkIIalpha/AP-1sigma/Gp150/ATP6AP2/p120ctn/Rip11/Rab11/capt/sina/hid/kay/bun/puc/rho/arm/mbl",26
"GO:0150063","GO:0150063","visual system development","26/284","429/12275",7.16895426390782e-06,0.000268497626676548,0.000188087161521792,"Rho1/aop/ed/Arf102F/Ras85D/Arf51F/shg/Pka-C1/peb/Rab6/CkIIalpha/AP-1sigma/Gp150/ATP6AP2/p120ctn/Rip11/Rab11/capt/sina/hid/kay/bun/puc/rho/arm/mbl",26
"GO:0048598","GO:0048598","embryonic morphogenesis","19/284","255/12275",7.41160898739941e-06,0.000272445256296071,0.000190852543320753,"Rho1/aop/ed/lwr/Ras85D/shg/peb/Lac/p120ctn/Rab11/knk/wol/mmy/cv-c/hid/kay/puc/rho/arm",19
"GO:0098609","GO:0098609","cell-cell adhesion","13/284","128/12275",8.13352910322874e-06,0.000293546459452892,0.000205634295605075,"aop/ed/shg/peb/Cont/Lac/p120ctn/Bsg/Cals/ImpL2/rk/rho/arm",13
"GO:0009611","GO:0009611","response to wounding","13/284","129/12275",8.8605028779573e-06,0.000314073182370451,0.000220013614695143,"Rho1/ed/Eb1/Arpc4/cold/shg/Pka-C1/knk/glo/kay/Ddc/bun/puc",13
"GO:0007156","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","8/284","46/12275",9.04688352769416e-06,0.000315053750920577,0.000220700519669141,"ed/shg/peb/Cont/Lac/Bsg/Cals/ImpL2",8
"GO:0033365","GO:0033365","protein localization to organelle","18/284","236/12275",9.38630027659971e-06,0.000321238035328455,0.00022503271625024,"Sec13/Eb1/Spase12/Rab1/Lamp1/Tom7/Srp9/Tim17b/CG13887/Arl1/Srp54k/Tom20/Nipped-B/CG34132/Sec63/Kap-alpha3/Parp/Vsp37A",18
"GO:0031175","GO:0031175","neuron projection development","28/284","492/12275",1.02910317915796e-05,0.000343654721213584,0.000240735986595861,"Rho1/Rab1/Dg/Arp3/robl/Rheb/Pp1-87B/PlexA/vvl/shg/Pka-C1/peb/Rab6/Cont/CkIIalpha/AP-1sigma/p120ctn/Bsg/ImpL2/CG15019/grn/capt/mav/mmy/cv-c/hid/kay/rho",28
"GO:0009792","GO:0009792","embryo development ending in birth or egg hatching","17/284","215/12275",1.03875482482695e-05,0.000343654721213584,0.000240735986595861,"Rho1/aop/ed/Eb1/Arp3/lwr/Ras85D/shg/peb/Rab11/mmy/cv-c/hid/kay/puc/rho/arm",17
"GO:0042060","GO:0042060","wound healing","11/284","96/12275",1.29156330944073e-05,0.000420287404793418,0.000294418486932046,"Rho1/ed/Eb1/Arpc4/cold/shg/knk/glo/kay/bun/puc",11
"GO:0060260","GO:0060260","regulation of transcription initiation from RNA polymerase II promoter","6/284","24/12275",1.37847241988485e-05,0.000434328214836735,0.000304254313561886,"Sec13/Rpt3/Rpt4/SC35/Rpt5/Rbp1-like",6
"GO:2000142","GO:2000142","regulation of DNA-templated transcription, initiation","6/284","24/12275",1.37847241988485e-05,0.000434328214836735,0.000304254313561886,"Sec13/Rpt3/Rpt4/SC35/Rpt5/Rbp1-like",6
"GO:1903050","GO:1903050","regulation of proteolysis involved in cellular protein catabolic process","8/284","49/12275",1.47235417574484e-05,0.000456659849820861,0.000319898004302457,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/sina/rpr",8
"GO:0072657","GO:0072657","protein localization to membrane","13/284","138/12275",1.84483121383011e-05,0.00055758938328986,0.000390600861898929,"boca/Rab1/Srp9/Arl1/Srp54k/peb/Bsg/Rab11/CG34132/Sec63/TM9SF2/Vsp37A/arm",13
"GO:0048469","GO:0048469","cell maturation","16/284","202/12275",1.85394958675722e-05,0.00055758938328986,0.000390600861898929,"SkpA/Roc1a/Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/CkIIalpha/Rab11/cni/sel/glo/gus/capt",16
"GO:1903362","GO:1903362","regulation of cellular protein catabolic process","8/284","52/12275",2.31360726496256e-05,0.000685449316559803,0.000480168923333156,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/sina/rpr",8
"GO:0009994","GO:0009994","oocyte differentiation","15/284","184/12275",2.41488137464888e-05,0.000704932283629122,0.00049381707367046,"Dg/TBCB/mago/Ras85D/shg/Pka-C1/Rab6/CkIIalpha/Rab11/cni/jagn/sel/glo/gus/capt",15
"GO:0032434","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","7/284","39/12275",2.68693216574474e-05,0.000772979760725117,0.000541485490610039,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/sina",7
"GO:0040017","GO:0040017","positive regulation of locomotion","9/284","69/12275",2.81122280762112e-05,0.000797182467589702,0.000558439899077819,"aop/Rheb/Catsup/shg/peb/Pvf2/mmy/kay/puc",9
"GO:0030029","GO:0030029","actin filament-based process","20/284","306/12275",2.92397073456638e-05,0.000817476325086516,0.000572656091973638,"Mlc-c/Rho1/ed/Dg/Arp3/Arpc4/CanB2/Arf51F/Pka-C1/Arpc3A/Fim/p120ctn/Bsg/Rab11/Kank/capt/bond/cv-c/puc/RhoGAP18B",20
"GO:0046530","GO:0046530","photoreceptor cell differentiation","16/284","210/12275",2.99450437974285e-05,0.000825568221359662,0.000578324603163788,"aop/ed/Ras85D/peb/Rab6/AP-1sigma/Rip11/Bsg/Rab11/capt/sina/kay/bun/rho/arm/mbl",16
"GO:1905879","GO:1905879","regulation of oogenesis","9/284","70/12275",3.16151174785228e-05,0.000859671345135174,0.000602214422337831,"aop/mago/Catsup/shg/Pka-C1/peb/Rab11/kay/puc",9
"GO:0043900","GO:0043900","regulation of multi-organism process","10/284","88/12275",3.44752372652169e-05,0.000924774945560211,0.000647820603518515,"aop/mago/Catsup/shg/Pka-C1/peb/Rab11/TM9SF2/kay/puc",10
"GO:0051272","GO:0051272","positive regulation of cellular component movement","9/284","71/12275",3.54808823552528e-05,0.000939060686335691,0.000657828008298792,"aop/Rheb/Catsup/shg/peb/Pvf2/mmy/kay/puc",9
"GO:0051247","GO:0051247","positive regulation of protein metabolic process","19/284","286/12275",3.71303114636225e-05,0.000969785108622246,0.000679350989521404,"SkpA/Su(var)205/Pomp/Roc1a/Rho1/Dp1/Rheb/Ras85D/Pka-C1/dod/Alg-2/gus/sina/mav/mmy/Gadd45/hid/stv/rpr",19
"GO:0032879","GO:0032879","regulation of localization","26/284","472/12275",3.77095078299902e-05,0.000972121727825072,0.000680987831078839,"ReepB/Rho1/aop/Rab1/CG30423/crok/mago/Rheb/Snx3/Arl1/PlexA/Catsup/shg/Pka-C1/peb/Nipped-B/prtp/Rab11/ImpL2/Parp/Pvf2/sel/mmy/kay/puc/rho",26
"GO:0042176","GO:0042176","regulation of protein catabolic process","9/284","72/12275",3.97393668935389e-05,0.00101131593953429,0.000708444044080498,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/gus/sina/rpr",9
"GO:0030036","GO:0030036","actin cytoskeleton organization","19/284","289/12275",4.28118702801896e-05,0.00107243462391049,0.000751258723683286,"Rho1/ed/Dg/Arp3/Arpc4/CanB2/Arf51F/Pka-C1/Arpc3A/Fim/p120ctn/Bsg/Rab11/Kank/capt/bond/cv-c/puc/RhoGAP18B",19
"GO:0198738","GO:0198738","cell-cell signaling by wnt","12/284","129/12275",4.38539968184517e-05,0.00107243462391049,0.000751258723683286,"SkpA/CHOp24/Roc1a/Rho1/aop/p24-1/Snx3/Pp1-87B/Ssdp/ATP6AP2/CG11523/arm",12
"GO:0010647","GO:0010647","positive regulation of cell communication","23/284","394/12275",4.43020852194761e-05,0.00107243462391049,0.000751258723683286,"Sec13/ed/Rab1/Fkbp14/Gprk1/Rheb/Snx3/Ras85D/Pp1-87B/Pka-C1/Ssdp/Alg-2/CkIIalpha/ATP6AP2/E(spl)m2-BFM/Cals/lqf/ImpL2/CG15611/mav/cv-c/Gadd45/Pdk1",23
"GO:0023056","GO:0023056","positive regulation of signaling","23/284","394/12275",4.43020852194761e-05,0.00107243462391049,0.000751258723683286,"Sec13/ed/Rab1/Fkbp14/Gprk1/Rheb/Snx3/Ras85D/Pp1-87B/Pka-C1/Ssdp/Alg-2/CkIIalpha/ATP6AP2/E(spl)m2-BFM/Cals/lqf/ImpL2/CG15611/mav/cv-c/Gadd45/Pdk1",23
"GO:0042592","GO:0042592","homeostatic process","26/284","479/12275",4.82949567408398e-05,0.00115500589313936,0.000809101304434361,"Su(var)205/Rab1/Fkbp14/Tpi/Dg/PMCA/fwe/Rheb/Ras85D/Atox1/cold/Catsup/shg/peb/Lac/CG6523/prtp/uex/capt/cv-c/rk/icln/bun/rho/Culd/mbl",26
"GO:0007267","GO:0007267","cell-cell signaling","26/284","481/12275",5.17761999392824e-05,0.00121463760850746,0.000850874336915476,"SkpA/CHOp24/Roc1a/Rho1/Syb/aop/Rab1/Dg/crok/Arf102F/p24-1/Snx3/Arl1/Pp1-87B/CanB2/Arf51F/Pka-C1/Ssdp/CkIIalpha/ATP6AP2/Cals/lqf/CG11523/cv-c/Syx18/arm",26
"GO:0061136","GO:0061136","regulation of proteasomal protein catabolic process","7/284","43/12275",5.20121897849543e-05,0.00121463760850746,0.000850874336915476,"SkpA/Pomp/Roc1a/Pka-C1/CkIIalpha/Rad23/sina",7
"GO:0032940","GO:0032940","secretion by cell","16/284","221/12275",5.56027975688258e-05,0.00128339015318743,0.000899036665708921,"CHOp24/Syb/Rab1/Arf102F/p24-1/Snx3/Arl1/CanB2/Arf51F/Rab6/Rip11/Rab11/lqf/jagn/sel/puc",16
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process","18/284","270/12275",5.68905151545502e-05,0.00128619555425786,0.000901001896950624,"E(spl)mbeta-HLH/Roc1a/aop/Rab1/Arp3/Rheb/Ras85D/PlexA/Catsup/shg/peb/E(spl)m3-HLH/Cals/mmy/kay/bun/puc/Pdk1",18
"GO:0008103","GO:0008103","oocyte microtubule cytoskeleton polarization","5/284","19/12275",5.70202563096685e-05,0.00128619555425786,0.000901001896950624,"mago/Pka-C1/Rab6/Rab11/capt",5
"GO:0048667","GO:0048667","cell morphogenesis involved in neuron differentiation","25/284","456/12275",5.76890955978926e-05,0.00128666128945861,0.000901328152392857,"Rho1/Rab1/Dg/robl/Rheb/Ras85D/Pp1-87B/PlexA/vvl/shg/peb/Rab6/Cont/CkIIalpha/AP-1sigma/p120ctn/Bsg/ImpL2/grn/capt/mmy/cv-c/hid/kay/rho",25
