Geneid,0h-T5-1,0h-T5-2,0h-T5-3,0h-T5-4,2h-T5-1,2h-T5-2,2h-T5-3,2h-T5-4,C-L3-T5-1,C-L3-T5-2,C-L3-T5-3,C-L3-T5-4
CG12170,14,77,218,58,364,132,205,272,401,233,473,703
MTA1-like,214,552,1022,221,426,374,316,160,831,124,510,892
Sec23,775,814,2364,379,3597,2766,1094,1453,2235,2424,1316,698
elm,219,514,700,172,327,245,474,585,621,678,669,549
MED27,106,203,416,138,232,182,163,170,170,28,102,167
CG2182,1238,1132,2063,818,2687,1390,1154,1352,2047,1449,1943,882
asRNA:CR44093,0,3,2,1,0,0,14,10,0,0,6,0
Wdr33,304,76,135,91,464,196,325,420,240,369,167,351
asRNA:CR46134,0,0,0,0,0,0,0,0,0,0,0,0
Xe7,189,80,290,83,159,92,266,153,381,52,280,296
Atg17,12,128,77,44,226,94,128,38,2,0,44,267
Rab23,240,246,265,138,573,240,111,208,223,218,397,143
plx,0,45,23,0,23,22,67,28,0,0,0,0
CG2104,0,0,0,0,0,0,0,0,0,0,0,0
cas,2,37,513,13,0,14,0,11,0,0,0,0
lncRNA:CR44924,0,0,0,0,0,0,0,0,0,0,0,0
CG1239,328,242,285,93,270,170,86,302,169,180,307,117
CG2100,371,101,725,29,420,213,182,304,305,541,221,267
CG1236,454,544,786,456,1161,748,857,834,799,570,1006,2953
Sym,43,216,117,4,36,50,23,90,254,102,292,104
Madm,16,277,371,71,725,324,417,230,941,776,1239,239
CG2091,216,392,1169,226,405,264,338,506,352,387,483,235
Sec8,66,805,199,213,344,392,170,473,990,678,974,771
CG2082,19,4,2,0,43,14,0,36,0,1,0,0
jagn,1518,1018,4150,644,2255,1362,1559,1751,1564,899,1276,666
kat-60L1,0,0,0,0,0,0,0,0,0,0,0,0
Hat1,374,548,701,271,327,405,419,285,685,698,568,501
Rpn5,5444,4171,11047,1993,12370,6271,6406,5773,4238,3541,5192,2142
CG1218,79,52,363,134,145,87,152,100,441,145,360,139
CG2046,666,652,2383,463,1886,690,1219,1041,536,475,845,400
CG10979,67,194,106,65,1,56,78,55,66,95,322,76
CG11000,98,60,24,30,59,37,32,251,0,0,40,0
CG42675,801,665,410,484,836,805,1065,1033,287,298,384,273
Hpr1,428,402,755,193,744,308,165,198,844,326,595,352
CG46303,0,0,0,0,0,0,0,0,0,0,0,0
CG2023,83,165,721,163,261,316,80,304,184,17,284,130
dgrn,16,189,553,110,179,131,373,70,254,562,684,160
glob3,0,0,0,0,0,0,0,0,0,0,0,0
CG1208,0,0,0,0,11,9,82,38,0,0,22,200
asRNA:CR45192,0,0,0,0,0,0,0,0,0,0,1,0
CG1213,0,0,0,0,0,0,0,0,0,0,0,0
CG14676,0,0,0,0,0,0,0,0,0,0,0,0
CR10991,0,0,0,0,0,0,0,0,0,0,0,0
disp,0,99,834,36,89,80,89,0,88,137,65,334
CG34287,0,0,0,0,0,0,0,0,0,0,0,0
ECSIT,26,202,1049,66,256,130,314,213,418,452,318,198
CG2017,149,467,203,32,80,162,97,227,300,166,187,204
asRNA:CR46133,0,0,0,0,0,0,0,0,0,0,0,0
side-III,0,0,0,0,0,0,0,0,0,0,0,50
lncRNA:CR45761,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45762,0,0,0,0,0,0,0,0,0,0,0,0
CG11373,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44925,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44926,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:TS20,0,0,0,0,0,0,0,0,0,0,0,0
Obp83a,0,0,0,0,0,0,0,0,0,0,0,0
Obp83b,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44927,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44928,0,0,0,0,0,0,0,0,0,0,0,0
Rm62,2612,3701,6250,1912,7081,4468,3390,4483,20951,17357,15337,10677
CG10280,0,0,0,0,1,53,3,0,0,0,0,0
CG11459,0,58,0,0,104,17,98,59,0,0,0,105
CR1075,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46221,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR44921,0,0,0,0,0,0,0,0,0,0,0,0
CG15580,0,0,0,0,0,0,0,0,0,0,0,0
Or83c,0,0,0,0,0,0,0,0,0,0,0,0
Gasp,38005,36636,32481,5843,180166,151056,166295,186476,3565,3061,1068,1341
lncRNA:CR44929,0,0,70,0,0,0,0,0,0,0,0,0
Obp83cd,0,0,0,0,0,0,15,5,68,1,0,24
Obp83ef,0,31,0,0,17,0,13,0,48,0,25,168
Obp83g,0,0,0,0,15,3,0,2,0,0,0,0
Vha14-2,0,0,0,0,0,8,0,0,0,0,0,0
lncRNA:CR43486,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43487,0,0,0,0,0,0,0,0,0,0,0,0
CG31559,75,68,0,52,0,52,0,0,79,0,0,0
CG1077,0,0,0,0,0,0,0,0,0,0,0,0
Osi1,0,0,0,0,0,0,0,0,0,0,0,0
CR31562,0,0,0,0,0,0,0,0,0,0,0,0
NPFR,0,0,0,0,0,0,0,0,0,0,0,0
Osi24,0,78,3,26,0,30,0,107,225,0,0,0
Osi2,0,0,0,0,0,0,0,0,0,0,0,0
Osi3,0,0,0,0,0,0,0,0,0,0,0,0
Osi4,0,14,0,0,0,0,0,0,0,0,0,0
Osi5,0,0,0,0,0,0,0,0,0,0,0,0
Osi6,1,8,0,1,1,0,1,52,0,0,0,0
Osi7,0,0,0,0,0,0,1,0,0,0,0,0
Osi8,0,0,0,0,0,0,0,0,0,0,0,0
Osi9,4,0,0,20,24,68,153,0,95,0,238,0
Osi10,0,0,0,0,0,3,101,0,0,0,0,0
Osi11,0,0,0,0,0,0,0,0,0,0,0,0
Osi12,0,0,0,0,0,0,0,0,0,0,0,0
CG15597,0,0,0,0,0,0,0,0,0,0,0,0
CG15594,0,0,0,0,0,0,0,0,0,0,0,0
Osi13,0,0,0,0,0,0,0,0,0,0,0,0
Osi14,0,0,0,0,0,0,0,0,0,0,0,0
Osi15,0,0,0,0,1094,1148,814,939,0,0,0,0
CG46396,0,0,0,0,2,2,22,0,0,0,0,0
Osi16,0,0,0,0,0,0,0,0,0,0,0,0
CG46026,0,0,0,0,0,0,0,0,0,0,0,0
CG31560,0,0,0,0,0,0,0,0,0,0,0,0
Osi17,0,0,0,0,0,0,0,0,0,0,0,0
Osi18,0,0,0,0,0,0,0,0,0,0,0,0
Osi19,0,10,0,0,0,0,0,0,0,0,0,0
Osi20,0,0,0,0,2,0,0,0,0,0,0,0
CG17917,67,11,0,2,73,12,0,0,0,0,0,0
CG10298,32,3,0,0,39,3,8,0,0,0,0,0
CG17919,45,38,101,6,217,61,7,154,64,0,58,23
SmD2,1526,993,5535,932,2087,1584,1796,1816,1712,1851,2373,1193
CG18048,0,63,146,22,19,112,72,0,66,242,249,115
Hr83,0,0,0,0,0,1,0,0,0,0,0,0
Pak,341,565,112,275,748,482,535,819,469,336,510,220
CG42724,283,265,426,103,346,200,294,188,1048,268,529,1132
CG10286,389,444,1174,261,410,399,401,510,2666,1723,2182,1290
CRAT,176,197,301,143,620,385,467,178,61,461,134,212
CG42564,0,0,0,0,0,0,0,0,0,0,0,0
snoRNA:83E4-5,0,0,0,0,0,0,0,0,0,0,0,0
CG1024,13,51,162,23,63,107,95,13,27,205,97,0
CG42537,0,0,0,0,0,0,0,0,0,0,0,0
TfIIFalpha,427,377,1024,275,703,447,518,574,462,303,594,207
gzl,131,301,690,62,260,360,567,609,406,396,311,535
Dmtn,71,294,620,249,429,273,266,396,181,39,191,200
gpp,73,189,352,216,303,89,41,309,362,243,195,362
lncRNA:CR44017,0,0,0,8,0,0,0,0,93,0,1,0
CG9727,203,26,0,0,147,37,0,0,0,0,41,11
mir-9375,0,0,0,0,0,0,0,0,0,0,0,0
Zif,198,162,694,115,371,246,274,411,273,0,365,90
Neurochondrin,133,92,0,0,358,0,71,0,0,0,65,0
CG15186,0,0,0,0,149,0,37,0,0,0,0,0
tRNA:Met-CAT-1-5,0,0,0,0,0,0,0,0,0,0,0,0
CG15185,0,0,0,0,0,0,0,0,0,0,0,0
dpr11,0,0,0,0,0,0,0,0,0,0,0,0
Pif2,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46132,0,0,0,0,0,0,0,0,0,0,0,0
CG1137,0,0,0,0,0,0,0,0,0,0,0,0
CG2336,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR46131,0,0,0,0,0,0,0,0,0,0,0,0
CG1138,0,0,0,0,0,0,0,0,0,0,0,0
CG31482,0,0,0,0,0,0,0,0,0,0,0,0
glob2,0,0,0,0,0,0,0,0,0,0,0,0
sowi,0,0,0,0,0,0,0,0,0,0,0,0
CG15177,0,0,0,0,0,0,0,0,0,0,0,0
sunz,0,0,0,0,0,0,0,0,0,0,0,0
CG31286,0,0,0,0,0,0,0,0,0,0,0,0
Ass,0,0,0,0,0,0,0,0,0,0,0,0
Taf1,29,61,484,60,53,39,27,187,210,594,268,108
CG1307,1019,750,2474,416,1166,1005,1236,1515,1386,936,1420,696
twr,3370,3599,8838,1918,6869,4113,5508,5322,3083,1983,2862,1868
agt,47,20,29,4,9,14,56,15,78,53,57,115
lab,0,0,0,0,0,0,0,0,0,0,0,0
Edg84A,0,0,0,0,0,0,0,0,0,0,0,0
Ccp84Ag,0,0,0,0,0,0,0,0,21,0,0,0
Ccp84Af,0,0,0,0,0,0,0,0,0,0,0,0
Ccp84Ae,0,0,0,0,0,0,0,0,0,0,0,0
Ccp84Ad,0,0,0,0,0,0,0,0,0,0,0,0
Ccp84Ac,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR33938,0,0,0,0,0,0,0,1,1,0,0,0
Ccp84Ab,0,0,0,0,0,0,0,0,0,0,0,0
Ccp84Aa,0,0,0,0,0,0,0,0,0,0,0,0
pb,0,0,0,0,0,0,0,0,0,0,0,0
zen2,0,0,0,0,0,0,0,0,0,0,0,0
CG34297,0,0,0,0,0,0,0,0,0,0,0,0
zen,0,0,0,0,0,0,0,0,0,0,0,0
bcd,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45593,0,6,0,0,30,1,9,9,0,0,6,0
Ama,1188,2233,7168,1509,5605,2532,3202,3262,1207,201,1911,1845
lncRNA:CR44930,0,0,1,0,0,0,0,0,0,0,0,0
lncRNA:CR42721,0,0,0,0,0,0,0,0,0,0,0,0
mir-993,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR43435,0,0,0,0,0,0,0,0,0,0,0,0
Dfd,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR42651,0,2,0,0,0,0,0,0,0,0,0,1
mir-10,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45915,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Lys-CTT-2-1Psi,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Lys-TTT-2-1,0,0,0,0,0,0,0,0,0,0,0,0
7SLRNA:CR42652,0,1,1,0,0,0,1,1,1,0,0,0
tRNA:Lys-TTT-2-2,0,0,0,0,0,0,0,0,0,0,0,0
tRNA:Lys-TTT-2-3,0,0,0,0,0,0,0,0,0,0,0,0
7SLRNA:CR32864,0,1,2,1,0,0,3,0,2,0,1,0
tRNA:Lys-TTT-2-4,0,0,0,0,0,0,0,0,1,0,0,0
Scr,0,0,0,0,0,0,75,0,0,0,0,0
lncRNA:CR45901,0,0,0,0,0,0,0,0,0,0,0,0
lncRNA:CR45902,0,0,0,0,0,0,21,0,0,0,0,0
