Symbol	Genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	control_1	control_2	control_3	notch_1	notch_2	notch_3
CG9780	FBgn0037230	0.343158546973488	1.65053984658842	4.0179385236342	0.410792707971927	0.681224540596732	NA	0	0	2.05895128184093	0	0	0
Vps24	FBgn0037231	572.042274029101	-0.349599910335145	0.29875951925586	-1.17017161898612	0.241931911647354	0.41385634766214	615.245303383009	399.424413855596	494.148307641822	795.843088493808	574.047860520205	553.544670280166
asRNA:CR46140	FBgn0267815	3.55372880790592	0.140381101919512	1.80709306043745	0.0776833827725117	0.938079912782687	NA	6.33457197820344	3.69837420236663	1.02947564092046	8.10706032421536	1.06108661833679	1.09180408339283
Suv3	FBgn0037232	1375.7001333537	0.273662469357136	0.377178806143239	0.725551024871766	0.468114053946376	0.640923912632914	1787.93294084792	1164.24819890502	1565.83244984002	813.408385862941	1847.35180252436	1075.42702214194
Syt14	FBgn0261086	23.3913414225455	0.201863008801774	1.75750071630701	0.114857995179622	0.908557679669369	0.951322749042201	8.71003647002972	62.1326865997594	4.11790256368185	39.1841249003742	0	26.203298001428
CG9795	FBgn0037234	2211.37243863997	0.524817518548617	0.185933266324873	2.82261226795008	0.00476341410033021	0.0264909204124393	2519.57600433042	2466.07591813807	2843.41172022232	1526.82969439389	1947.09394464802	1965.2473501071
CG9776	FBgn0027866	4968.95523843649	0.325220642884821	0.161140143349141	2.01824719852811	0.0435655227983601	0.128913466245147	5133.37876683661	5137.78144192772	6309.65620320152	4412.94316981456	4173.25366991861	4646.7181789199
Skp2	FBgn0037236	3310.51482654569	0.400378023341189	0.233596919818858	1.71396961762878	0.0865343059256593	0.207240642282131	4246.53868988813	3483.86849862937	3571.25099835309	2195.66217114166	2960.43166515965	3405.33693610225
CG1103	FBgn0037235	7957.9539789806	-0.12064734851045	0.138836607114629	-0.868988021371326	0.38485368268524	0.566194748347596	7404.32282102254	7725.16403390342	7747.8336735674	7394.99019240511	8599.04595500137	8876.36719798373
CG1090	FBgn0037238	12.8609934463286	-6.39564356379362	3.5693775095017	-1.79180922913544	NA	NA	0	0.739674840473326	0	0	0	76.4262858374983
Sfxn1-3	FBgn0037239	2473.16147543321	0.312454685720315	0.174280825894588	1.79282307228278	0.0730012190419164	0.184529422099812	2693.77673373101	3116.9897777546	2407.94352411296	2310.51219240138	2060.63021281005	2249.11641178924
Cont	FBgn0037240	17904.0071439225	1.07346315407497	0.26246406100784	4.08994340007147	4.31478468860733e-05	0.000743344929824323	22357.0799755717	22677.6909340717	27787.6064997251	8254.33858677194	11807.7718888518	14539.5549785424
tub	FBgn0003882	4229.55069298719	0.699527362555742	0.240007782083628	2.91460283696967	0.00356141451989954	0.0215904449648301	5632.22631012013	5117.81022123494	4956.92521103203	2396.98750252634	3968.46395257961	3304.8909604301
CG14646	FBgn0037241	2482.72854907967	0.0672361410005827	0.167594078521051	0.401184466622652	0.688284316239504	0.811441404116647	2415.05556669006	2494.18356207606	2713.69778946634	2126.75215838583	2454.293348213	2692.38886964673
CG34112	FBgn0086608	95.076109667758	-0.280412214490214	0.350442545248701	-0.800166013778982	0.423614617975379	0.600911628309234	82.3494357166446	96.8974041020057	78.2401487099552	99.9870773319894	110.353008307026	102.629583838926
asRNA:CR46139	FBgn0267814	30.0988135768347	-0.28759990456241	0.701731402509443	-0.409843286952717	0.681920910181461	0.806962368827873	16.628251442784	28.8473187784597	36.0316474322162	25.6723576933486	28.6493386950934	44.7639674191061
asRNA:CR45999	FBgn0267661	13.8675229477921	-0.423735389933054	1.58036139390407	-0.268125627193582	0.788602620169547	0.878597254874443	15.0446084482332	13.3141471285199	7.20632948644324	0	13.7941260383783	33.8459265851778
CG9855	FBgn0037242	320.381761623805	0.676774913705666	0.373431576116706	1.81231303668375	0.069937841320705	0.179586397167355	372.947925216727	428.271732634056	381.935462781492	149.980615997984	316.203812264364	272.951020848208
CG9853	FBgn0086605	3239.18027438126	-0.172969769891463	0.159759669233706	-1.08268733104619	0.278947229199765	0.456521161278293	3000.2116531766	3378.09499644168	2756.935766385	3283.35943130722	3714.86425079711	3301.61554817993
CG14647	FBgn0037244	2193.58115431406	-0.0363801060139192	0.141421591393433	-0.257245768877754	0.796989054053438	0.883039318382727	2114.1633977254	2366.95948951464	2015.71330492227	2264.57218389749	2183.71626053712	2216.36228928745
lncRNA:CR45187	FBgn0266697	63.8211089350014	-0.879016325910878	0.710316845653488	-1.2374989151527	0.21590191683691	0.383239793808058	50.6765758256275	53.9962633545528	29.8547935866934	139.171202232364	36.076945023451	73.1508735873198
lost	FBgn0263594	76606.6195119056	0.47000473559486	0.324989339382666	1.4462158558421	0.148116667804847	0.296067316553682	82328.8483577155	90529.5434003709	94070.3956403891	36710.1203247678	79822.363037622	76178.4463105681
CG32944	FBgn0052944	50.7274469590753	-1.29550493221985	0.698454626166409	-1.85481616655681	0.0636224826366897	0.168213630890185	30.0892168964663	36.244067183193	21.6189884593297	68.9100127558306	33.9547717867774	113.547624672855
CG31528	FBgn0051528	1.10951226070999	3.38413605642718	3.94057576517152	0.858792282675444	0.390455126055436	NA	0	6.65707356425994	0	0	0	0
srl	FBgn0037248	4950.87782102737	1.22256891432529	0.35787367533493	3.41620241606511	0.000635010263815021	0.00607203737517491	7341.76892273778	5416.63885678617	8037.11632866605	1691.6732543196	3879.33267663932	3338.73688701528
CG31525	FBgn0051525	8.11113630710314	1.7997037787322	1.76273733378037	1.0209710455684	0.307268156950928	0.487654891630811	7.91821497275429	2.21902452141998	27.7958423048525	0	6.36651971002076	4.36721633357133
eIF3a	FBgn0037249	17746.2936093225	-0.10353634245279	0.155808595182577	-0.664509825863366	0.506364062191705	0.6746476734468	18226.9390457831	16394.8928390913	16708.3896521391	16041.1700281808	20210.5168194609	18895.8532712798
CG1074	FBgn0037250	259.395931410561	0.625843296426787	0.319248768077533	1.96036244774105	0.0499534417647792	0.142647938853253	357.903316768494	269.981316772764	317.078497403503	156.736499601497	247.233182072473	207.442775844638
CG9804	FBgn0037251	110.495542010814	-0.547074615031466	0.393796513024742	-1.38923174009185	0.164762292973873	0.318338124741864	95.810401170327	85.8022814949058	87.5054294782393	160.790029763605	95.4977956503114	137.567314507497
CG14650	FBgn0037252	4051.92195904841	0.541372775043658	0.224605712149734	2.41032505301001	0.0159383132310407	0.0629066586396662	4673.33047691958	4062.29422387951	5675.49920839451	2922.59524687964	3051.68511433662	3926.12748388063
CG31522	FBgn0051522	3279.80426765852	0.436567994311828	0.177113865257764	2.46490015717553	0.0137051434967297	0.0563152977784209	4323.34537512384	3310.04491111813	3683.46384321342	2784.77522136798	2593.29569521512	2983.90055991261
asRNA:CR43629	FBgn0263620	207.614920680782	-0.812267604269962	0.448472684457584	-1.81118634962657	0.0701120104945739	0.17986058793861	129.85872555317	182.699685596912	138.979211524262	394.543602445147	226.011449705737	173.59684925946
CG31523	FBgn0051523	6235.99762542822	0.72459229909778	0.322899738506955	2.24401637006024	0.0248313480981622	0.086800204067408	7930.09229521343	6460.32005669403	8920.40642857581	2873.95288493434	5927.22985002933	5303.98423712238
CG14651	FBgn0037254	2.27181000280084	1.65632886923354	3.84486058100714	0.430790358801431	0.666620810445135	NA	0	10.3554477666266	0	0	0	3.2754122501785
Fip1	FBgn0037255	5976.19443735737	0.0735320359481597	0.129053486749644	0.569779537152742	0.568827236110327	0.726220191669311	6261.7244004541	6066.07336672175	6058.46414681692	5323.63627956809	5926.16876341099	6221.09966717236
CG34425	FBgn0085454	18.6048204239488	-7.90240052049154	3.18887794661143	-2.47811319617573	NA	NA	0	0	0	109.445314376907	0	2.18360816678567
lncRNA:CR31526	FBgn0051526	0.353695539445598	-2.2048242852972	4.04869150691213	-0.544577002602695	0.586044475171031	NA	0	0	0	0	2.12217323667359	0
CG32945	FBgn0052945	8.1542217752833	-6.71036150817849	2.76430690544742	-2.4275023496685	0.0152031883666941	0.0607245304947448	0	0	0	44.5888317831845	1.06108661833679	3.2754122501785
lncRNA:CR45558	FBgn0267118	0.530543309168397	-2.78436535718099	4.00234394426845	-0.695683678352616	0.486626949227507	NA	0	0	0	0	3.18325985501038	0
lncRNA:CR44317	FBgn0265376	0.67558836035128	-3.10194524774091	3.98365727739464	-0.778667699488852	0.436175488034686	NA	0	0	0	4.05353016210768	0	0
5-HT2A	FBgn0087012	6.70226675688245	-5.4293114463892	3.91470684240893	-1.3869011563196	0.165471905218117	0.319075398420229	0	0	1.02947564092046	39.1841249003742	0	0
CG9775	FBgn0037261	7439.28372333865	0.190158502164494	0.126890722046553	1.49860052096425	0.133977297503771	0.278847905716854	7758.26703030466	8580.96782433106	7446.19731077771	7139.61779219233	6720.92264054525	6989.72974188092
slx1	FBgn0037263	373.169721415854	-0.0720112108144388	0.262186945930787	-0.274655973274309	0.783580558911621	0.875737620676243	364.237888746698	426.052708112636	300.606887148775	401.29948604866	338.486631249437	408.334727188919
MED31	FBgn0037262	3018.35758077256	-0.203863966502262	0.171224452357713	-1.19062414097468	0.233801170148561	0.403690902144522	2631.22283544625	3128.0849003617	2656.04715357479	3490.08946957471	2867.05604274602	3337.64508293189
Dlip2	FBgn0040466	842.477767325516	0.724570603072616	0.174718874349115	4.1470654259414	3.36763853060908e-05	0.000617015963656116	979.483192129706	1061.43339607922	1107.71578963042	690.451304279008	582.536553466899	633.246368367843
rpk	FBgn0022981	481.807013461419	0.451495613375181	0.501016688240553	0.901158831576494	0.367503876331469	0.549279435220942	652.460913754954	463.776124976776	553.857894815209	289.151818230348	706.683687812304	224.911641178924
asRNA:CR44155	FBgn0265038	14.7176330756073	0.0604921146621495	1.24835415102747	0.0484574947040156	0.961351638933618	0.979286860341085	19.0037159346103	14.7934968094665	11.3242320501251	8.10706032421536	32.8936851684406	2.18360816678567
Karybeta3	FBgn0087013	19435.7723500399	0.273916075296615	0.177546930626969	1.54278124848083	0.122883860652226	0.263463059024255	21245.362593397	19108.0201539474	23474.1035642684	15293.9693016323	19853.9917156997	17639.1867712946
spartin	FBgn0037265	272.560591035444	0.714758209365845	0.407175359309864	1.75540634525948	0.0791898274925254	0.195778917322094	283.472096024604	486.706045031449	246.044678179991	160.790029763605	233.439056034095	224.911641178924
CG43427	FBgn0263346	3237.28128684723	0.0665275345212289	0.323113494549194	0.205895252422211	0.836872734018153	0.907894233385188	2912.31946697903	2423.91445223109	4599.69716363263	3977.86426574834	2693.03783733878	2816.85453515351
lncRNA:CR44156	FBgn0265039	25.291862663661	0.560470467489179	0.863105060957769	0.649365289165651	0.516102294280344	0.681933137663581	19.0037159346103	28.1076439379864	43.2379769186594	31.0770645761589	8.48869294669435	21.8360816678567
lncRNA:CR44157	FBgn0265040	1.57732095365762	-2.08837683869861	3.89557497530366	-0.536089499480322	0.59189669689955	NA	0.791821497275429	0	1.02947564092046	0	0	7.64262858374983
CG33927	FBgn0053927	1.30271279434141	3.60658269753609	3.93576470570388	0.916361359790966	0.35947739486498	NA	0	3.69837420236663	4.11790256368185	0	0	0
eIF3f1	FBgn0037270	12960.786492003	-0.372206444117915	0.117978021798878	-3.15487951435932	0.00160564398547448	0.0120395169198156	11420.4414552035	11811.1278526781	10662.2792130132	14136.0108519902	15364.5342335168	14370.3253456165
lncRNA:CR44923	FBgn0266228	14.7969040523106	0.899523160649455	1.67285327813621	0.537717905333363	0.590771815837012	0.74166479624559	23.7546449182629	7.39674840473326	26.766366663932	0	27.5882520767566	3.2754122501785
Nep2	FBgn0027570	7262.849397913	0.487492447044218	0.411128275742056	1.18574293184853	0.235723834599671	0.405831863268942	8813.7650861728	7819.10273864353	8803.04620551088	2742.8887430262	8578.88530925297	6819.40830487163
tacc	FBgn0026620	6821.61112555616	0.117549442633826	0.208060576700347	0.564977010532482	0.572089401163038	0.728386077159032	6267.26715093502	6712.54917729544	8318.16317863734	7688.19554079757	6101.24805543656	5842.24365023505
asRNA:CR46137	FBgn0267812	0.65202478322863	1.03369433202496	3.6592629691285	0.2824870310622	0.777570089535848	NA	0.791821497275429	0.739674840473326	1.02947564092046	1.35117672070256	0	0
mir-9384	FBgn0283546	5.09036312865408	1.86532783802037	1.63571291451533	1.14037605344278	0.254129664983508	0.428218490602131	8.71003647002972	8.13642324520659	7.20632948644324	0	2.12217323667359	4.36721633357133
atms	FBgn0010750	4376.33717990453	-0.171542795378525	0.20658111798011	-0.830389519893302	0.406318589009281	0.585124134117582	3989.19670327361	4397.36692661392	3963.48121754378	3645.47479245551	4956.33559425116	5306.16784528917
CG44098	FBgn0264907	58.3049928829708	-0.684616807495512	1.51697159530434	-0.451304961552797	0.651769769416807	0.787748394076565	46.7174683392503	0	87.5054294782393	133.766495349553	39.2602048784614	42.5803592523205
CG44088	FBgn0264897	0.343158546973488	1.65053984658842	4.0179385236342	0.410792707971927	0.681224540596732	NA	0	0	2.05895128184093	0	0	0
CG14655	FBgn0037275	194.86143593462	-2.3561234143681	0.817958636430174	-2.88049212934648	0.00397054865669228	0.0232921439838856	64.9293627765852	75.4468337282793	50.4443064051027	744.498373107111	106.108661833679	127.741077756961
CG17387	FBgn0037276	22.8837749958907	-1.411689647654	1.68564634215402	-0.837476766241527	0.402324631300671	0.581986154095732	8.71003647002972	13.3141471285199	15.4421346138069	87.8264868456664	0	12.0098449173212
ctrip	FBgn0260794	7275.66032615517	0.422942240597577	0.216975123709467	1.94926604196297	0.0512636616937608	0.145303623873706	7966.51608408809	7056.49797811553	9981.79581436481	5706.01929152691	7248.28268985863	5694.85009897702
Hus1-like	FBgn0026417	748.900413928742	0.254341150356477	0.433119323912927	0.587231130808677	0.557048487234343	0.71682727761966	1019.86608849075	582.863774292981	842.111074272938	356.710654265476	882.824066456212	809.026825794089
CG1129	FBgn0037279	3409.9267367331	-0.000875989137909256	0.231516610115976	-0.00378369887789234	0.996981052286003	0.997820340422808	3535.48298533479	3082.96473509282	3609.34159706714	2606.41989423524	4104.28303972672	3521.06816894189
CG1126	FBgn0037280	12.796479000909	-5.01118487615063	2.10175969434539	-2.38428060526272	0.0171125483640974	0.066589102844544	0	2.21902452141998	0	64.8564825937229	4.24434647334717	5.45902041696416
CG14657	FBgn0037282	4469.86634004973	0.441967422648932	0.241649356299553	1.8289617213011	0.0674053428375698	0.174964684788942	4686.79144237327	4908.48224138099	5853.59849427375	2902.3275960691	3810.36204644742	4657.63621975382
CG14658	FBgn0037283	11.5168048445117	-7.21005336991707	3.30379269313806	-2.18235647318074	0.0290832341015103	0.0967432039159199	0	0	0	64.8564825937229	4.24434647334717	0
opa	FBgn0003002	361.042165964877	-2.62709951056761	0.976304659290269	-2.6908603636875	0.00712680179282124	0.0352108434774244	122.732332077692	44.3804904283996	134.861308960581	95.9335471698817	201.606457483991	1566.73885966872
Gnf1	FBgn0004913	5371.56299335782	0.545631128945439	0.191679895694434	2.8465746340725	0.00441923686983583	0.0250587358278979	5830.18168443899	6729.56169862632	6567.02511343163	3927.87072708234	3949.36439344954	5225.3743431181
Cdep	FBgn0265082	14364.9945136262	0.551408985211683	0.399268591215586	1.38104773914948	0.167264282699598	0.321315587950754	19097.1508712888	11255.6320474826	20879.8249491488	7242.30722296572	17513.2346356488	10201.8173552226
lncRNA:CR45188	FBgn0266698	5.16719553675901	-0.363843851974505	1.65839712153646	-0.219394888744991	0.826342451239092	0.90250732145129	3.95910748637715	1.47934968094665	8.2358051273637	1.35117672070256	13.7941260383783	2.18360816678567
snRNA:U1:82Eb	FBgn0004183	0.612415759287791	0.909431139465295	4.00238663224213	0.227222210902657	0.820250957546191	NA	1.58364299455086	0.739674840473326	0	1.35117672070256	0	0
Ubc6	FBgn0004436	9970.87443566285	-0.232277702644845	0.188746367832919	-1.23063402656023	0.218459772964995	0.386177514902672	10061.6757658789	8379.77626772231	9067.62144522744	12349.7552272214	9030.90820866445	10935.5096992626
CG14661	FBgn0037288	3.08842692276139	4.84992155463051	3.91904192031496	1.23752734807204	0.215891367775634	NA	0	0	18.5305615365683	0	0	0
CG2016	FBgn0250839	2296.36043344267	-0.345597832052716	0.521175229433157	-0.663112543603801	0.507258477611959	0.675581348678934	2970.12243628014	858.022814949058	2240.13899464293	1422.7890868998	2736.54238869059	3550.54687919349
CG1124	FBgn0037290	31.4296253875554	-0.893734461373124	1.49456867859413	-0.597988218389413	0.549847794366213	0.711105218088789	13.4609654536823	34.025042661773	18.5305615365683	0	65.7873703368812	56.7738123364273
CG14662	FBgn0037291	7.67788206921927	1.37320095264725	1.90451947736252	0.72102226780528	0.470895814380725	0.643333147838835	3.16728598910172	22.9299200546731	7.20632948644324	0	11.6719528017047	1.09180408339283
asRNA:CR43478	FBgn0263455	0.348427043209543	-0.458787183103686	4.0804728567969	-0.112434808220689	0.910478657325813	NA	0	0	1.02947564092046	0	1.06108661833679	0
lncRNA:CR43424	FBgn0263343	1.20105491440721	3.48116521096958	3.93838661068441	0.883906420341152	0.376746731105821	NA	0	0	7.20632948644324	0	0	0
plh	FBgn0037292	6.53967788253987	0.820164404242826	1.74681623791751	0.469519567336171	0.638698301736977	0.776863911399983	3.16728598910172	9.61577292615324	12.3537076910456	0	3.18325985501038	10.9180408339283
lncRNA:CR45585	FBgn0267145	3.89859285469258	-0.00174944991741967	3.37683680093337	-0.000518073576116001	0.999586637110748	NA	5.54275048092801	0	6.17685384552278	0	11.6719528017047	0
lncRNA:CR46352	FBgn0286032	7.71008617918064	0.601378102098829	1.72616521755546	0.348389653541091	0.727547571695708	0.838784507827182	6.33457197820344	18.4918710118332	3.08842692276139	0	7.42760632835755	10.9180408339283
lncRNA:CR43635	FBgn0263626	32.6677547817775	-1.77658287355507	1.27689710471558	-1.39132813990583	0.164125944428466	0.317509963005711	17.4200729400594	10.3554477666266	16.4716102547274	113.498844539015	36.076945023451	2.18360816678567
lncRNA:CR45588	FBgn0267148	6.5195763294583	-2.17909165972284	1.60221279863423	-1.36005133748798	0.173813678734746	0.330080023520059	4.75092898365258	2.21902452141998	0	14.8629439277282	6.36651971002076	10.9180408339283
corto	FBgn0010313	6367.36712052082	0.143996380510423	0.20932607843386	0.687904639439951	0.491512834789706	0.661904640293473	5959.24858849488	5744.31481111585	8352.13587478771	5949.23110125337	6279.51060731714	5919.76174015594
CG43131	FBgn0262605	273.216682237568	-4.12288852427027	1.10148368235427	-3.74303186721585	0.000181813160686059	0.00230771152946718	38.799253366496	32.5456929808264	17.5010858956479	1341.71848365764	30.771511931767	177.964065593032
CG12007	FBgn0037293	1485.84375664048	-0.126069817444988	0.129023221253474	-0.977109517342748	0.328514936502915	0.509288586001332	1463.28612696499	1386.15065104701	1413.4700549838	1555.20440552865	1601.17970707022	1495.77159424818
CG12589	FBgn0040684	0.909836736160694	-3.55521028906774	3.96308691559507	-0.897081079669915	0.369675653926834	NA	0	0	0	0	0	5.45902041696416
dpr16	FBgn0037295	63.3032212441864	-0.109425540255847	0.831209151978495	-0.131646216834098	0.895264127877183	0.944893092156822	21.3791804264366	97.6370789424791	63.8274897370687	29.7258878554563	106.108661833679	61.1410286699986
cno	FBgn0259212	6141.27718077934	0.0682755506535659	0.251481797874551	0.271493011544416	0.786011873921561	0.877172199724729	6075.64634859437	6322.00086152552	6463.04807369866	4179.18959713302	6760.18284542371	7047.59535830074
snRNA:U4atac	FBgn0263018	2.98643607601025	-1.14277179649557	2.36108102826439	-0.484003633427022	0.628383290496966	NA	0.791821497275429	0.739674840473326	4.11790256368185	1.35117672070256	0	10.9180408339283
Prosbeta2R2	FBgn0037296	12.859733224762	-1.8744768079998	2.03231906496939	-0.922333919072909	0.356354426644798	0.538288522259205	0.791821497275429	12.5744722880465	3.08842692276139	55.398245548805	5.30543309168397	0
CG1116	FBgn0037297	1607.76300737915	-0.0921604107745505	0.210123008981158	-0.438602184603281	0.660949813815062	0.793911428807944	1524.2563822552	1818.86043272391	1324.93514986464	1859.21916768672	1507.80408465658	1611.50282708782
CG2604	FBgn0037298	6913.39943499345	-0.00975628230282262	0.155291335185374	-0.0628256708024073	0.949905323900044	0.974308566500236	6383.66491103451	7857.56583034814	6428.04590190737	7015.30953388769	6645.58549064334	7150.22494213966
CG14664	FBgn0040682	10.5721018736473	-2.80541656465683	2.85904646948913	-0.981242031074129	0.326473401671897	0.506858008979875	7.91821497275429	0	0	0	43.5045513518085	12.0098449173212
Vps37B	FBgn0037299	3816.63137244203	-0.45450920799503	0.174993525473911	-2.59729156701166	0.00939621275240362	0.0430575916277168	3108.69119830334	3598.51809890273	2952.53613815989	4968.27680202331	4252.83516629387	4018.93083096902
Kat60	FBgn0040208	2572.09045128934	0.572379487416821	0.332407121744872	1.72192305752141	0.0850834574990805	0.204853690050706	3076.22651691504	2733.09853554894	3418.88860349686	1226.86846239792	2680.30479791874	2297.15579145852
Mms19	FBgn0037301	2417.0244078035	0.433427171391814	0.129641802354164	3.34326709071622	0.000827981658500901	0.00736442539148765	2811.75813682505	2611.79186171132	2909.29816124123	2037.57449481946	2138.08953594864	1993.63425627531
