Geneid,WT1_quant,WT2_quant,WT3_quant,WT4_quant
BicD,18.418912,25.812598,19.51047,27.702848
boss,0,0,0,0
brm,28.689224,41.780083,33.187831,48.783528
Brd,51.905041,46.939397,59.08794,34.664755
brn,32.377575,21.361494,24.020251,23.959613
Bsg25A,0,0,0,0
Bsg25D,13.026876,15.565664,17.732349,16.319428
bsk,108.824627,134.930775,143.272548,128.587372
btd,7.867324,1.208193,0.80732,0.151107
bur,72.419797,81.815556,82.687322,94.476143
bw,0.017492,0,0.023163,0.08836
by,15.636151,19.686031,19.891462,31.315892
c(3)G,2.501108,3.683806,3.305232,2.412253
ca,2.357161,3.436303,0.995579,4.810307
cact,44.93907,59.896343,59.209404,72.521178
cad,0,0.013076,0,0.018533
Cam,394.012794,477.751578,346.041696,457.598029
capu,13.825325,12.618164,10.205956,16.89496
car,27.821999,27.216724,26.426929,24.444251
CkIIbeta,470.451639,433.880717,522.51937,413.434666
Cat,515.633705,1265.024891,975.162457,656.010001
Pka-C1,34.190025,53.471287,36.454223,50.982661
Pka-C2,0,0,0,0
CecA1,0,0,0,0
CecA2,0,0,0,0
CecB,0,0,0,0
CecC,0,0,0,0
Cp190,51.883575,74.071538,78.098672,80.624045
Cf2,13.995649,20.076112,15.634098,20.141569
salr,17.612635,12.96677,11.13081,18.653881
cg,96.001713,99.621636,128.852995,103.159327
Col4a1,20.683837,5.100724,10.362409,44.066494
ChAT,0,0,0,0.009923
chif,11.916029,11.817272,11.014018,14.238631
chic,2558.357171,3052.204812,2645.88639,2757.337352
cin,85.019241,77.901866,97.013518,86.160296
ck,3.347319,9.913566,5.239903,10.111425
cl,471.292393,401.468734,382.044046,489.446152
Chc,49.56748,104.87234,61.582278,113.703701
eya,6.922861,27.550147,13.409073,9.747997
clt,52.036177,45.854005,40.11595,42.181288
cm,102.733114,84.947987,102.587476,86.897312
cn,0,0,0,0.021933
cni,286.661734,233.366878,246.784588,251.230322
comt,8.283446,7.052464,7.37441,8.171399
cort,7.912337,5.557898,6.779869,5.041802
cos,13.765963,24.03248,17.472687,26.643209
Cp15,2.517854,2.570571,3.849469,1.553983
Cp16,0,0,0,0
Cp18,0.537856,1.220984,0,0.199453
Cp19,0,0,0,0
Cp36,0,0,0,0
Cp38,0,0,0,0.04446
crc,866.006639,1345.198816,1002.62147,1252.364428
crm,10.508882,14.009516,14.579456,15.529237
crn,41.807748,36.533319,42.726521,40.059921
csw,7.561348,11.925104,10.095378,15.565116
cta,47.954063,59.363513,73.067505,49.998635
cup,2.470027,2.196646,3.627953,2.677999
cv,68.170188,57.957452,72.822259,54.744901
cv-2,13.983884,22.913373,27.430344,27.711823
CycA,87.77829,104.878518,111.283239,107.765525
CycB,79.8303,75.942468,86.99582,84.008897
Cyt-b5-r,0,0,0,0
D,1.360234,0.176621,0.466503,0
D1,735.571005,583.993101,665.282378,623.381381
Dab,2.213657,3.892402,2.153955,4.844346
Sap-r,174.920562,245.17196,289.510555,236.466016
Ddc,7.317577,18.305565,39.453038,42.004134
SmF,1061.616206,799.804321,959.349473,725.884197
1-Dec,0,0,0,0
Dfd,0,0,0,0
Pkg21D,0,0,0,0
Dhod,220.024738,205.538411,200.573971,217.173682
Hr3,0.401642,80.976014,6.641727,7.26207
dib,1.898075,0.360989,2.129612,1.189708
ect,1.936497,1.819775,0.98153,5.446721
Dip-B,173.11784,221.576677,188.733338,174.245145
Dip-C,44.175397,55.46039,48.781832,54.374896
disco,5.281105,5.854326,4.778834,6.865581
Dl,24.151198,26.993238,25.637588,26.99412
Lar,3.820698,3.981355,4.362037,6.666259
Cyp6a2,0,0,0.445073,0
DNaseII,0.187979,0.091165,0,0.129358
dnc,2.34777,1.404987,2.7249,2.759623
dor,21.459139,21.881235,23.826911,21.57341
Pka-C3,3.883661,4.37026,5.374772,4.789018
dpp,18.360925,22.043892,26.230434,27.619543
Dr,150.758298,103.352454,219.407353,143.078571
dsh,25.829599,36.091524,36.075248,38.079224
Dsk,0,0,0,0.11517
dsx,6.401103,3.612571,5.647264,3.642301
dwg,28.923246,27.941154,37.544109,24.481652
dx,22.631637,37.108646,35.034652,39.220587
e,0.264865,40.884819,1.224252,4.918031
bsh,0,0,0,0
ea,14.315601,5.44807,6.393145,9.651441
eag,0.005786,0.003333,0.010539,0
eas,28.802279,26.948471,43.895793,26.24209
E(bx),11.130599,14.509749,10.356099,14.091743
ec,13.102128,19.056954,14.351972,30.054658
ecd,61.840485,75.450345,85.655456,73.74937
EcR,29.481843,24.152272,28.260674,38.973897
ed,75.695964,153.10659,94.577055,156.941081
Edg78E,3.62441,2.634897,4.134639,2.284691
Edg84A,0,0,0,0
eEF1alpha2,40.910237,79.928531,65.721128,64.319484
eEF2,2019.431692,2348.075254,2354.913458,2678.828724
eg,3.575793,3.615857,1.154535,2.93972
egl,24.187966,50.775937,34.411801,39.042295
Eh,0,0,0.169512,0
Eip71CD,97.618113,85.838988,95.964248,101.963792
Eip55E,145.819125,160.966471,156.207215,162.508723
Eip74EF,18.053637,8.206681,13.220018,20.389746
Eip75B,36.188653,33.188532,49.592833,60.114989
emc,820.937957,967.828697,932.170687,788.28479
ems,31.330871,40.472847,25.937742,29.874142
en,22.64484,31.370736,31.631479,46.678813
ena,70.962206,125.633127,95.731035,84.484927
Eno,777.466362,747.426868,768.208361,821.206238
E(Pc),5.13986,4.42762,4.404983,7.213364
esc,26.763148,21.055875,31.030869,21.758723
E(spl)m8-HLH,26.709289,30.642101,81.644653,19.401372
Est-6,0.053173,0.047308,0.033887,0.0223
Est-P,0.629958,3.00256,3.184923,2.303658
eve,0,0,0,0
exd,131.974277,190.45763,176.879598,189.738818
exu,3.344113,4.894388,1.857753,3.445956
e(y)1,65.374015,60.541973,69.351613,61.988883
e(y)2,203.747314,132.170636,137.018074,145.989274
eyg,32.374476,48.985399,43.581455,25.66781
E(z),38.970722,35.178741,48.663645,35.681676
CG17716,0,0.044521,0.04731,0.006939
Fas2,116.552877,213.799686,160.396203,179.257088
Fas3,463.391319,469.477323,557.635599,517.121589
Fbp1,5.635232,1.370835,1.31664,5.777299
Fbp2,12.600967,1.669527,3.469725,4.416522
Fcp3C,4.658731,3.751261,5.52047,5.681054
fj,108.113454,54.033033,72.686262,61.909555
fkh,0,0,0,0.020854
fl(2)d,115.337908,118.753645,142.750228,112.061862
Actn,69.526399,70.038255,94.912246,92.900522
fliI,11.80496,21.532031,18.800298,19.994039
flw,36.851151,45.903359,57.609195,43.402297
FMRFa,0,0,0,0
fog,3.460076,4.066521,6.868537,4.99783
for,11.087252,12.067349,16.024038,20.629773
FER,33.915358,45.391015,40.673173,61.910171
gd,0,0.853431,0.20524,0.549263
fs(1)K10,19.944031,24.82109,23.390872,24.798729
png,12.945421,4.853334,2.342192,7.50368
fs(1)Ya,0,0,0,0
fs(1)Yb,0.08157,0.103532,0,0.087296
tj,0,0,0,0
dup,55.479918,39.239833,77.557646,48.713507
ft,10.745544,11.187689,13.477822,9.106361
ftz,0,0,0,0
ftz-f1,2.441107,0.526413,0.168388,0.914319
fu,25.815474,22.73385,36.406948,27.040957
fw,29.056125,43.100745,30.186425,48.455544
fy,53.757755,58.230233,61.317303,50.29229
fz,34.070542,33.19438,34.206723,33.612685
fzy,53.739548,45.650102,61.078233,61.231794
g,25.333609,35.430754,35.441332,31.445715
Gal,4.154825,9.818214,7.642093,16.878023
bnb,160.462175,173.228456,153.385161,176.762359
Gapdh1,617.197746,494.182879,515.79686,792.280357
Gapdh2,2082.822686,1402.169187,1842.590905,1466.914941
Gdh,201.069918,169.655213,197.482497,207.817877
gdl,23.687208,13.370501,14.986781,12.423743
Galphai,296.401789,327.877802,401.337235,275.93247
Gbeta13F,369.300865,412.160975,392.634073,366.396184
DCTN1-p150,13.123886,22.095358,13.885978,23.673255
Gld,16.159931,41.984934,34.26955,26.062765
Glt,3.361292,9.263784,9.068751,39.232315
gnu,0,0,0,0
Galphao,21.967368,40.844644,43.045737,39.473126
Galphas,92.641317,87.831471,91.270221,88.919519
Got1,304.39578,278.429998,327.979455,257.941658
Got2,163.622997,130.552244,152.483331,170.119565
Gpdh1,15.599599,15.818366,21.110813,20.272315
grau,47.63034,38.393397,39.762515,34.23093
Grd,0,0,0,0
grk,2.866022,2.710704,7.101497,4.269648
grn,64.4075,71.552632,112.001859,110.088931
gro,74.028751,79.106741,86.684019,80.511719
Gs1,2.002637,12.395378,35.181466,34.026165
Gs2,215.874404,71.391325,163.83193,395.085714
gsb-n,0.399129,0,0,0
gsb,4.390489,0.505469,0,0
GstD1,4201.436542,4934.398115,4323.674664,4030.537302
gt,0,0.104431,0,0
h,72.715121,65.246394,88.850364,101.558112
H,20.196183,34.495705,21.099067,35.380033
H2.0,1.473413,2.57556,4.013412,0.192374
halo,0,0,0,0
hay,21.930271,25.505345,25.554537,25.124266
hb,0,0,0,0
her,25.912082,27.349043,28.077272,24.49515
Hex-A,37.305509,48.513176,57.689544,69.477162
Hex-C,0,0,0,0.099885
hfw,58.753887,67.953704,60.698823,57.119344
His2Av,1382.252729,1147.96399,1317.147614,1460.451082
hook,32.397041,36.153846,36.369562,35.066492
Hmr,3.852468,6.699541,4.143289,7.469734
Hn,0.087317,0,0,0.123654
Hrb98DE,317.832845,362.134207,403.160308,360.163158
Hsc70-1,0.019106,0,0,0.01612
Hsc70-2,0,0,0,0
Hsc70-3,588.735677,1488.900785,979.672942,868.552161
Hsc70-5,65.055694,76.224726,64.108891,77.754876
Hsf,63.119241,74.318805,82.808045,61.19407
Hsp22,14.734941,161.389288,297.848743,18.600962
Hsp23,6085.757234,7457.892123,7888.283019,5871.861041
Hsp26,885.833252,3043.159675,3688.144196,937.736428
Hsp27,4702.239138,8247.699009,8169.694483,5130.445635
Hsp67Ba,227.232673,385.7979,318.510331,224.904318
CG4456,12.690654,27.078326,19.495979,8.783478
Hsp67Bc,17.149691,50.014232,57.281732,21.675999
Hsp68,6.630808,121.662182,338.936954,13.149604
Hsp83,6735.476859,7586.148211,11399.27947,5863.788932
hth,221.221795,220.503668,381.801582,181.915144
Ide,37.334091,56.260289,51.929881,51.675516
Idh,562.744694,862.010139,674.784367,735.116539
if,2.738281,13.506365,3.993547,6.302251
ImpE1,38.911615,342.928761,151.172821,118.89032
ImpE2,2604.847852,6936.134094,5423.739964,3688.14647
ImpE3,145.526695,536.681881,262.728134,221.012904
ImpL1,0.973961,6.649185,3.942851,2.031948
ImpL2,58.536204,156.05015,136.135285,177.358939
Ldh,13.250817,43.147588,40.985654,29.564231
in,30.597408,34.941087,31.9096,43.309527
inaD,0.161778,0.348759,0.371634,0.253007
inv,51.718158,57.289074,60.045146,48.345858
ix,29.513755,31.747762,33.276349,25.121693
janA,478.730269,340.171959,349.862654,374.692967
janB,0.414044,0.600868,0.272425,0.374333
Jon44E,0,0,0,0
Jra,84.205884,120.209764,146.458167,133.060205
kar,3.989912,3.85569,3.041925,9.589608
kay,129.422927,215.288806,353.54794,242.324878
kel,9.029643,12.319058,11.554139,18.913826
Khc,81.548324,116.037764,111.565906,121.619364
kkv,34.766512,49.917133,27.254463,65.401516
kl-2,0,0,0,0
klar,40.036061,38.149984,40.561077,54.792046
kn,1.520791,0.785756,0.729415,0.361675
kni,12.863294,21.664187,23.308066,13.391395
knk,22.850394,67.298979,41.197509,50.707787
knrl,3.194949,6.855709,6.806239,4.510434
kto,12.823944,6.149101,5.886266,12.769195
Kr,0,0,0,0
kz,12.845992,11.708649,16.882606,19.014114
Mybbp1A,16.196521,22.961098,18.896285,22.819168
egh,12.313652,13.412388,11.881594,10.264848
l(1)10Bb,90.532761,71.537908,78.986424,85.855241
Hlc,68.925832,51.134265,75.380623,51.721641
Grip91,19.181894,23.277256,23.605521,28.801777
dlg1,24.20157,42.219684,33.73348,46.26535
ifc,43.468237,60.266297,57.26584,51.619248
eIF4A,2027.80468,2055.478179,2022.624796,2364.712557
Arpc1,168.333922,199.668054,165.391905,151.290793
Sos,5.804164,10.030665,4.235962,15.497354
NimC3,7.066186,3.476822,2.606992,7.058982
Pgant35A,23.170389,40.098867,19.28931,28.928007
CIAPIN1,74.58034,73.276725,77.149569,68.553284
stc,18.491412,29.541526,29.859306,31.409401
esg,53.100442,57.319979,75.581772,59.304815
wor,0.307311,0.411708,0,0.272147
Mtr4,19.922677,26.164994,26.477982,34.683707
Gli,23.978817,63.912486,39.266289,58.131238
ND-B17,399.650932,270.728406,244.056869,220.752486
wek,26.189823,25.696137,28.061194,30.865539
Ca-alpha1D,0.005466,0.003199,0.009971,0.040651
Cyp303a1,0.197641,0.233693,0.238853,0.14464
crp,60.823225,68.54998,65.925926,82.866365
mRpL4,81.067759,64.096534,76.570224,69.575127
l(2)37Bb,25.102597,22.257744,18.133855,25.998855
Catsup,337.422266,370.560126,359.110396,311.133601
Lim3,0.024843,0.04378,0.039557,0.05142
l(2)37Cc,438.68472,347.912233,423.559557,394.149199
CG10561,6.343115,5.382107,5.281493,5.167556
swm,19.41699,29.712105,33.860322,28.356473
AspRS,282.530999,326.772957,372.315832,295.977844
l(2)gl,33.260733,69.225072,51.156276,66.434136
l(2)tid,142.939893,93.324744,122.041447,92.208866
dre4,71.179607,62.161987,67.786665,85.071587
l(3)73Ah,37.347643,59.193959,54.909638,50.720126
Prosbeta6,546.25889,506.653369,501.277302,513.526578
sas,16.308903,16.758791,16.693843,23.431535
l(3)87Df,20.12705,23.545594,18.997353,18.822488
dco,64.097459,89.714718,83.867103,74.822044
hyd,4.267072,6.164094,3.431302,8.037931
l(3)mbn,0,0,0,0.662434
l(3)mbt,7.896006,9.880426,6.065932,10.357247
sti,20.718987,22.86544,16.029816,45.075912
pho,71.320793,86.460773,97.480989,89.575489
lab,0.354344,0.456894,0.022309,0.088405
lace,30.002318,48.194959,37.041508,42.43091
Lam,213.166438,274.028866,275.938053,312.279917
LanA,15.064814,11.761603,8.677018,19.764577
Lcp1,6.942547,17.917715,120.833166,317.305533
Lcp2,4.782375,6.112003,27.471701,145.96008
Lcp3,0.528098,0.500205,4.358843,17.713026
Lcp4,5.462785,8.169769,87.703636,155.606882
lds,23.319216,30.727383,25.511839,38.498696
robo2,50.772449,109.991178,64.089747,88.906067
lin,28.663965,44.677167,49.357465,35.989957
l(1)sc,0.701405,0.301252,0.162041,0.30018
Lsp1alpha,1.93762,0.542925,1.723126,2.512174
Lsp1beta,4.429881,1.160543,3.20563,6.378024
Lsp1gamma,4.888196,2.120306,4.398877,8.439749
Lsp2,4.625427,1.615896,3.570619,7.249417
lt,29.988831,36.357071,36.677033,35.529358
Rab32,18.679474,30.596235,29.914964,22.807878
Mal-A2,0,0,0,0
Mal-A1,0,0,0,0.039677
Mal-A3,0,0,0,0
sens,1.538272,1.550759,2.940879,1.347593
lz,0,0,0,0.064577
m,0.842544,4.69044,0.904534,1.133094
Kaz-m1,0.16485,0.484507,0.997509,0.495274
RpL36,1829.727653,1603.522467,1241.783798,1959.606801
RpS5a,2155.691791,2011.564736,1832.027384,2293.002397
E(spl)m2-BFM,52.600984,102.043785,209.846821,83.818085
RpLP1,4684.907868,4526.341582,4273.867137,5323.207339
E(spl)m3-HLH,96.716873,111.322735,228.704017,88.306559
RpS3,1304.803082,973.32448,892.628455,1242.726306
RpL32,1444.713056,1420.086573,1141.631046,1612.581899
E(spl)m4-BFM,9.797033,5.353056,15.154954,5.889077
E(spl)m5-HLH,0.061163,0,0.740188,0.321632
E(spl)m6-BFM,97.475469,161.873255,192.736728,113.428999
E(spl)m7-HLH,95.401974,115.209757,298.632608,80.384875
Rcc1,167.51973,124.486821,145.745161,150.090079
mal,16.173594,13.721846,22.091737,15.114709
mam,5.142738,7.972331,7.718443,6.63619
Map205,51.691919,109.427213,79.218647,110.597126
twe,6.771915,3.773316,4.490365,4.233373
mei-9,8.915286,7.415672,11.710235,9.138234
mei-218,1.709251,4.73575,3.046718,4.245013
mei-S332,21.184532,15.692128,23.848305,21.4212
mei-W68,0.750548,0.404851,1.534758,0.495071
Men,21.817922,40.352715,27.26571,27.662329
Met,3.938916,3.791172,6.104201,3.51015
E(spl)malpha-BFM,98.786952,224.445424,488.038902,146.452397
E(spl)mbeta-HLH,118.438889,182.523606,533.384403,173.223136
E(spl)mdelta-HLH,24.010644,19.129994,74.698451,20.877788
E(spl)mgamma-HLH,16.881366,8.572338,42.400842,10.210508
mago,471.183821,394.669659,407.396499,421.432446
Mlc1,8.342057,9.600193,103.767223,129.650357
Mlc2,7.177589,16.073622,57.318168,113.904672
mle,19.536141,23.859983,24.722462,27.379823
msl-3,22.090555,31.50025,19.832761,27.932239
mnd,16.376228,31.135178,32.512974,46.27155
mod,442.549013,411.255214,530.29031,444.523533
mod(mdg4),417.306347,388.421457,482.929207,422.120379
mor,42.165487,58.999063,43.030057,75.911037
Rpn8,230.700809,289.188316,241.875407,255.959367
Mp20,2.513581,4.125842,84.093634,34.965142
mr,34.004433,38.154368,36.70286,38.5523
ms(3)K81,0.472632,0.196394,0.161844,0.35311
sa,0.103631,0.03184,0,0.954703
Acp26Aa,0,0,0,0
Acp26Ab,0,0,0,0
Mst87F,0,3.320973,0.947383,0.457254
Acp95EF,5.151589,1.913579,0.000117,2.051061
Mst98Ca,0,0,0,0
MtnA,7.483147,10.314389,11.64407,31.00608
MtnB,0,0.505349,0,0
mu2,10.176904,10.461075,10.523941,18.295049
mud,7.780549,7.628309,7.922825,11.563255
mus101,6.528251,8.263869,9.518414,14.27972
mus201,5.301542,4.690303,3.779369,7.705604
mus205,1.740632,2.240267,1.366207,3.462468
mus301,5.795376,5.616475,7.533336,6.308324
mus304,9.403578,11.177398,8.303671,10.215961
mus308,2.953681,4.448412,3.587322,4.619724
Blm,3.672144,4.797311,3.634753,4.850002
Myb,126.582938,134.396491,144.154478,131.997581
na,0.022015,0,0,0.0273
Atpalpha,255.42262,380.712566,362.050939,383.802325
nau,2.237605,1.434001,3.160565,3.904094
ncd,116.586101,70.948446,115.073908,122.531465
ndl,0,0,0,0.004145
nec,0.328306,0.70797,0.38321,0.467735
net,10.134182,5.729791,4.568392,7.128799
neur,14.062253,16.78713,19.027455,22.760266
ng1,0,0,0,0
ninaA,0.233403,0,0,0.08525
ninaB,0,0.011618,0,0.081825
ninaC,0.269839,0.094536,0.073538,0.146946
ninaD,0,0.087303,0,0
ninaE,0,0,0,0
slou,0,0.050059,0,0.056728
nkd,23.29933,40.476577,45.850934,47.220221
nod,38.091066,31.202817,41.515526,42.794627
nos,0,0.013518,0.014455,0.075814
numb,123.825507,165.336001,191.652831,120.753869
odd,17.948139,25.198909,16.572248,16.807194
okr,10.535599,8.487143,8.370244,8.349784
opa,5.437952,9.934929,12.970127,1.087741
or,62.217169,51.894845,57.577822,50.540026
ord,0.124645,0,0,0
ort,0.067799,0,0,0
osk,0,0,0,0.018098
osp,1.585613,1.773414,1.011993,3.16183
otu,0,0,0.018385,0
ovo,10.463312,14.223482,7.051086,12.773645
SP,0,0,0,0
pbl,41.982963,44.400512,52.622596,49.344943
Pc,16.58739,21.805487,24.408901,17.469288
Pcl,28.494057,47.360088,35.772367,48.953177
Pcp,1.963823,6.201703,41.410311,25.353305
pcx,1.529175,1.714896,1.173563,2.121711
peb,2.501686,1.671285,1.015854,3.021312
CG10598,0,0,0,0
CG9757,0,0,0.408534,0.772172
Fib,118.018249,74.683621,71.66193,102.83829
CG2150,0.158644,0.095112,0,0.091527
Pepck1,3.017487,1.537138,2.464849,3.928298
per,0.83603,0.194516,1.561368,0.209072
Pfk,60.464522,53.268575,56.865632,60.084265
Pgi,156.443468,122.374025,167.01323,120.774344
Pgm,49.570939,34.841408,37.727682,45.483054
Raf,27.384224,29.364745,31.347753,28.679684
phr,251.170457,155.580305,193.106528,138.962963
Pig1,0,0,0,0
pim,196.197591,118.069495,168.894002,134.879191
pip,23.797202,39.307926,43.207804,24.893797
pk,10.070578,15.749082,17.45823,14.753847
Pkc53E,0.055472,0.084133,0.514596,0.212937
Pkc98E,28.438523,28.157065,32.412405,22.438815
plu,0,0,0,0
pn,6.736254,4.274156,3.060513,6.714519
pnr,54.678368,136.511644,103.834444,80.482689
pnt,18.72519,15.821465,20.33052,23.708085
polo,211.200896,167.26732,223.648863,213.107878
Poxm,3.247975,0.360046,0,0.050896
Poxn,1.726333,2.095485,0,0.248369
Pp1-13C,0,0,0,0
Pp1alpha-96A,74.909275,81.944081,74.20996,80.32838
Ppn,20.429463,65.026984,33.789712,90.635475
PpV,131.505994,120.479394,152.436023,119.481281
PpY-55A,0,0,0,0
pr,168.808605,170.081823,159.32439,137.87917
prd,0,0,0,0
Prm,1.619323,1.165913,34.003375,18.939949
CG2841,2.198133,1.160559,5.502458,4.548365
Pu,4.779354,12.49924,7.359445,11.83259
pum,13.083707,24.28352,16.082594,15.7017
put,128.716395,143.634504,175.845539,123.725011
pwn,11.244104,6.482715,6.854181,16.61402
px,4.644758,6.727606,6.276197,7.865374
qua,0.746211,1.950242,2.051164,0.63436
r,15.587574,18.124575,14.686515,40.78928
ras,126.827998,148.26349,157.306292,156.182836
Ras85D,155.915176,194.757295,196.013285,180.890435
Ras64B,98.700583,120.67074,118.925535,101.030088
raw,16.40505,19.693362,21.848758,22.232329
rb,8.675534,13.508738,8.708992,15.905804
rdgB,1.146254,2.278116,1.055334,2.288891
rec,3.89191,3.661183,3.446422,4.528807
ref(2)P,41.593306,70.568348,56.527069,52.154259
Rh2,0,0,0,0
Rh3,0,0,0,0
Rh4,0.101113,0.040676,0,0.143886
rib,0,0.027586,0.014949,0.00974
rk,0.576674,0.976574,0.795946,1.676862
rl,72.537537,99.100763,100.944498,85.149523
r-l,103.097512,75.924701,117.759424,91.539118
Rm62,1635.068975,1242.072334,1546.533458,1530.655312
ro,0.505201,0.445886,0.388889,0.285886
rod,5.845714,7.225259,7.067032,14.737239
amos,0,0,0,0
RpLP2,3903.81848,2918.486557,2773.930492,3666.441222
RpII18,1441.77443,932.19598,1161.844303,980.589821
RpII215,15.736765,22.252371,17.16362,40.859586
RpI135,31.016575,28.06075,29.97107,36.000099
RpL4,1292.049286,1103.476395,1012.526198,1325.356835
rst,8.185857,11.969299,11.104116,13.252524
rt,19.870203,79.472588,31.330593,41.317902
ru,1.975975,3.703722,4.089134,1.085299
run,0,0,0,0
rut,1.637808,1.604632,1.330913,3.02188
rux,18.141887,15.429001,19.917183,17.580957
ry,0.073012,0.043205,0.403569,0.750596
S,10.025088,18.815078,12.993626,15.299027
sad,47.557673,34.987041,47.380976,25.731698
sala,0,0.063807,0,0.431966
sax,45.648371,65.056517,76.874862,62.389502
Sb,7.043095,25.168328,18.843394,10.522144
sbr,28.947218,36.613969,37.520652,35.812619
sca,60.956344,66.655067,86.452415,58.78614
scb,19.249182,78.792363,64.351722,73.766323
Sce,70.010981,60.64339,67.694644,57.317664
Scm,19.198151,31.448997,23.744052,37.32711
Scr,1.218425,0.261396,0.82513,0
sd,102.418824,119.49379,145.664596,129.496837
RanGAP,142.48747,96.231737,136.59009,127.136911
sei,6.068068,5.772252,4.727753,6.36526
Jon99Cii,0,0,0,0
Jon99Ciii,0,0,0,0.123221
Jon99Ci,0,0.034058,0,0.048595
sesB,826.304898,958.905227,799.625125,1059.067168
sev,0.029155,0.011477,0.015842,0.282788
sgg,97.911437,129.47886,157.891564,116.382246
Sgs1,0,0,0.171162,0
Sgs3,0.088628,0.162587,27.730045,1.279159
Sgs4,0,0.158915,16.763994,1.360377
Sgs5,0.943864,0.065233,50.391498,4.455244
Sgs7,2.663391,1.66335,150.334756,16.048397
Sgs8,0.43011,1.488664,42.307181,9.954567
Sh,0.069635,0.041002,3.446448,0.639723
sha,0,0.004106,0,0
Shaw,0,0,0,0
shd,0.202765,0.838236,4.023555,1.356319
shf,166.388547,167.723244,197.551972,130.631305
shg,36.204694,70.083337,39.836194,87.751596
shi,84.570344,102.119585,115.454393,99.375674
shn,6.354584,6.054624,7.265868,7.551801
shu,19.483707,14.353459,13.486662,13.243592
sina,41.317946,56.114532,55.633868,45.42367
sisA,0,0,0,0
skd,5.080833,5.633156,4.989965,5.752348
sl,2.977676,9.913569,5.536094,8.435965
slgA,62.172849,92.875974,101.342122,87.74064
slo,0.008955,0,0,0.24489
slp1,2.363751,0.331352,0.278916,0
sm,2.309975,37.377403,7.389749,9.523013
smo,33.323015,47.537403,40.575159,39.565952
sn,143.799066,247.171191,191.547918,196.326903
sna,0.453445,0.38874,0.018531,0.095592
snf,265.801148,176.834643,222.717391,174.513365
snk,0,0,0,0.084022
stwl,8.624439,15.623586,13.191564,18.178234
so,3.394522,20.924423,8.113701,6.92633
Sod1,2181.794199,1725.118756,1736.708182,1643.610787
sog,20.495559,24.594001,22.276813,17.090135
sol,20.413486,24.496186,29.374612,31.434438
spir,0.547601,0.376377,1.117831,1.142195
spn-A,66.400579,78.268723,70.585103,59.607451
spn-B,5.842235,1.583467,1.860798,5.433755
